Count,Name,Foil,Card Number,Edition
1,"Dovin, Architect of Law",foil,265,Ravnica Allegiance
4,Elite Arrester,,266,Ravnica Allegiance
2,Dovin's Dismissal,,267,Ravnica Allegiance
3,Dovin's Automaton,,268,Ravnica Allegiance
3,Arrester's Zeal,,4,Ravnica Allegiance
3,Concordia Pegasus,,7,Ravnica Allegiance
2,Prowling Caracal,,17,Ravnica Allegiance
2,Spirit of the Spires,,23,Ravnica Allegiance
2,Summary Judgment,,24,Ravnica Allegiance
1,Tenth District Veteran,,26,Ravnica Allegiance
1,Unbreakable Formation,,29,Ravnica Allegiance
1,Chillbringer,,33,Ravnica Allegiance
2,Code of Constraint,,35,Ravnica Allegiance
2,Senate Courier,,50,Ravnica Allegiance
1,Verity Circle,,58,Ravnica Allegiance
2,Windstorm Drake,,60,Ravnica Allegiance
1,Azorius Knight-Arbiter,,154,Ravnica Allegiance
1,Sphinx's Insight,,209,Ravnica Allegiance
2,Azorius Guildgate,,243,Ravnica Allegiance
2,Azorius Guildgate,,244,Ravnica Allegiance
12,Plains,,260,Ravnica Allegiance
10,Island,,261,Ravnica Allegiance
