Count,Name,Foil,Card Number,Edition
1,"Elspeth, Undaunted Hero",foil,270,Theros Beyond Death
2,Archon of Falling Stars,,2,Theros Beyond Death
4,Daybreak Chimera,,10,Theros Beyond Death
3,Dreadful Apathy,,11,Theros Beyond Death
2,Hero of the Winds,,23,Theros Beyond Death
3,Indomitable Will,,25,Theros Beyond Death
3,Karametra's Blessing,,26,Theros Beyond Death
4,Leonin of the Lost Pride,,28,Theros Beyond Death
2,Phalanx Tactics,,31,Theros Beyond Death
1,"Taranika, Akroan Veteran",,39,Theros Beyond Death
1,"Daxos, Blessed by the Sun",,258,Theros Beyond Death
3,Eidolon of Inspiration,,271,Theros Beyond Death
2,Elspeth's Devotee,,272,Theros Beyond Death
4,Sunlit Hoplite,,273,Theros Beyond Death
13,Plains,,278,Theros Beyond Death
12,Plains,,279,Theros Beyond Death
