Count,Name,Foil,Card Number,Edition
1,"Huatli, Dinosaur Knight",foil,285,Ixalan
4,Huatli's Snubhorn,,286,Ixalan
3,Huatli's Spurring,,287,Ixalan
2,Sun-Blessed Mount,,288,Ixalan
4,Stone Quarry,,289,Ixalan
1,Goring Ceratops,,13,Ixalan
2,Kinjalli's Caller,,18,Ixalan
2,Pterodon Knight,,28,Ixalan
2,Rallying Roar,,30,Ixalan
2,Raptor Companion,,31,Ixalan
2,Shining Aerosaur,,36,Ixalan
2,Slash of Talons,,38,Ixalan
2,Territorial Hammerskull,,41,Ixalan
2,Bonded Horncrest,,133,Ixalan
1,Burning Sun's Avatar,,135,Ixalan
2,Frenzied Raptor,,146,Ixalan
2,Lightning Strike,,149,Ixalan
2,Tilonalli's Knight,,169,Ixalan
3,Plains,,260,Ixalan
3,Plains,,261,Ixalan
3,Plains,,262,Ixalan
2,Plains,,263,Ixalan
3,Mountain,,272,Ixalan
3,Mountain,,273,Ixalan
3,Mountain,,274,Ixalan
2,Mountain,,275,Ixalan
