Count,Name,Foil,Card Number,Edition
1,"Jace, Ingenious Mind-Mage",foil,280,Ixalan
4,Castaway's Despair,,281,Ixalan
2,Grasping Current,,282,Ixalan
3,Jace's Sentinel,,283,Ixalan
4,Woodland Stream,,284,Ixalan
2,Air Elemental,,45,Ixalan
1,Fleet Swallower,,57,Ixalan
2,Headwater Sentries,,58,Ixalan
1,Herald of Secret Streams,,59,Ixalan
2,Shaper Apprentice,,75,Ixalan
1,Tempest Caller,,86,Ixalan
2,Deeproot Warrior,,186,Ixalan
2,Jade Guardian,,194,Ixalan
2,Jungle Delver,,195,Ixalan
2,Kumena's Speaker,,196,Ixalan
3,River Heralds' Boon,,204,Ixalan
2,Vineshaper Mystic,,214,Ixalan
2,Shapers of Nature,,228,Ixalan
3,Island,,264,Ixalan
3,Island,,265,Ixalan
3,Island,,266,Ixalan
2,Island,,267,Ixalan
3,Forest,,276,Ixalan
3,Forest,,277,Ixalan
3,Forest,,278,Ixalan
2,Forest,,279,Ixalan
