Count,Name,Foil,Card Number,Edition
1,"Galea, Kindler of Hope",foil,1,Forgotten Realms Display Commanders
1,"Galea, Kindler of Hope",foil,1,Adventures in the Forgotten Realms Commander
1,"Storvald, Frost Giant Jarl",foil,55,Adventures in the Forgotten Realms Commander
1,Fey Steed,,5,Adventures in the Forgotten Realms Commander
1,Holy Avenger,,6,Adventures in the Forgotten Realms Commander
1,Mantle of the Ancients,,8,Adventures in the Forgotten Realms Commander
1,Robe of Stars,,11,Adventures in the Forgotten Realms Commander
1,Valiant Endeavor,,13,Adventures in the Forgotten Realms Commander
1,Diviner's Portent,,15,Adventures in the Forgotten Realms Commander
1,Netherese Puzzle-Ward,,17,Adventures in the Forgotten Realms Commander
1,Winged Boots,,20,Adventures in the Forgotten Realms Commander
1,Belt of Giant Strength,,38,Adventures in the Forgotten Realms Commander
1,Song of Inspiration,,42,Adventures in the Forgotten Realms Commander
1,Catti-brie of Mithral Hall,,44,Adventures in the Forgotten Realms Commander
1,Ride the Avalanche,,54,Adventures in the Forgotten Realms Commander
1,Clay Golem,,58,Adventures in the Forgotten Realms Commander
1,Ebony Fly,,60,Adventures in the Forgotten Realms Commander
1,Sword of Hours,,61,Adventures in the Forgotten Realms Commander
1,Angel of Finality,,63,Adventures in the Forgotten Realms Commander
1,Angelic Gift,,64,Adventures in the Forgotten Realms Commander
1,Gryff's Boon,,67,Adventures in the Forgotten Realms Commander
1,Puresteel Paladin,,69,Adventures in the Forgotten Realms Commander
1,Realm-Cloaked Giant // Cast Off,,70,Adventures in the Forgotten Realms Commander
1,"Sram, Senior Edificer",,72,Adventures in the Forgotten Realms Commander
1,Valorous Stance,,76,Adventures in the Forgotten Realms Commander
1,Winds of Rath,,78,Adventures in the Forgotten Realms Commander
1,Brainstorm,,79,Adventures in the Forgotten Realms Commander
1,Curse of Verbosity,,82,Adventures in the Forgotten Realms Commander
1,Eel Umbra,,83,Adventures in the Forgotten Realms Commander
1,Imprisoned in the Moon,,85,Adventures in the Forgotten Realms Commander
1,Prognostic Sphinx,,90,Adventures in the Forgotten Realms Commander
1,Psychic Impetus,,92,Adventures in the Forgotten Realms Commander
1,Riverwise Augur,,93,Adventures in the Forgotten Realms Commander
1,Serum Visions,,94,Adventures in the Forgotten Realms Commander
1,Abundant Growth,,150,Adventures in the Forgotten Realms Commander
1,Acidic Slime,,151,Adventures in the Forgotten Realms Commander
1,Fertile Ground,,158,Adventures in the Forgotten Realms Commander
1,Greater Good,,160,Adventures in the Forgotten Realms Commander
1,Heroic Intervention,,161,Adventures in the Forgotten Realms Commander
1,Kenrith's Transformation,,162,Adventures in the Forgotten Realms Commander
1,Nature's Lore,,164,Adventures in the Forgotten Realms Commander
1,Paradise Druid,,165,Adventures in the Forgotten Realms Commander
1,Rancor,,167,Adventures in the Forgotten Realms Commander
1,Utopia Sprawl,,172,Adventures in the Forgotten Realms Commander
1,Verdant Embrace,,173,Adventures in the Forgotten Realms Commander
1,Wild Growth,,174,Adventures in the Forgotten Realms Commander
1,Bant Charm,,178,Adventures in the Forgotten Realms Commander
1,Behemoth Sledge,,180,Adventures in the Forgotten Realms Commander
1,Cold-Eyed Selkie,,183,Adventures in the Forgotten Realms Commander
1,Fleecemane Lion,,185,Adventures in the Forgotten Realms Commander
1,Knight of Autumn,,187,Adventures in the Forgotten Realms Commander
1,Shielding Plax,,192,Adventures in the Forgotten Realms Commander
1,Arcane Signet,,197,Adventures in the Forgotten Realms Commander
1,Argentum Armor,,198,Adventures in the Forgotten Realms Commander
1,Basilisk Collar,,199,Adventures in the Forgotten Realms Commander
1,Colossus Hammer,,202,Adventures in the Forgotten Realms Commander
1,Explorer's Scope,,205,Adventures in the Forgotten Realms Commander
1,Masterwork of Ingenuity,,209,Adventures in the Forgotten Realms Commander
1,Moonsilver Spear,,212,Adventures in the Forgotten Realms Commander
1,Sol Ring,,215,Adventures in the Forgotten Realms Commander
1,Swiftfoot Boots,,217,Adventures in the Forgotten Realms Commander
1,Sword of the Animist,,218,Adventures in the Forgotten Realms Commander
1,Viridian Longbow,,221,Adventures in the Forgotten Realms Commander
1,Azorius Chancery,,224,Adventures in the Forgotten Realms Commander
1,Bant Panorama,,225,Adventures in the Forgotten Realms Commander
1,Canopy Vista,,227,Adventures in the Forgotten Realms Commander
1,Command Tower,,230,Adventures in the Forgotten Realms Commander
1,Exotic Orchard,,236,Adventures in the Forgotten Realms Commander
1,Flood Plain,,237,Adventures in the Forgotten Realms Commander
1,Fortified Village,,239,Adventures in the Forgotten Realms Commander
1,Grasslands,,242,Adventures in the Forgotten Realms Commander
1,Halimar Depths,,244,Adventures in the Forgotten Realms Commander
1,Lumbering Falls,,247,Adventures in the Forgotten Realms Commander
1,Mishra's Factory,,248,Adventures in the Forgotten Realms Commander
1,Path of Ancestry,,254,Adventures in the Forgotten Realms Commander
1,Port Town,,255,Adventures in the Forgotten Realms Commander
1,Prairie Stream,,256,Adventures in the Forgotten Realms Commander
1,Seaside Citadel,,258,Adventures in the Forgotten Realms Commander
1,Simic Growth Chamber,,260,Adventures in the Forgotten Realms Commander
1,Skycloud Expanse,,261,Adventures in the Forgotten Realms Commander
1,Sungrass Prairie,,264,Adventures in the Forgotten Realms Commander
1,Terramorphic Expanse,,267,Adventures in the Forgotten Realms Commander
1,Thriving Grove,,268,Adventures in the Forgotten Realms Commander
1,Thriving Heath,,269,Adventures in the Forgotten Realms Commander
1,Thriving Isle,,270,Adventures in the Forgotten Realms Commander
1,"Vitu-Ghazi, the City-Tree",,272,Adventures in the Forgotten Realms Commander
1,Evolving Wilds,,256,Adventures in the Forgotten Realms
1,Plains,,262,Adventures in the Forgotten Realms
1,Plains,,263,Adventures in the Forgotten Realms
1,Island,,266,Adventures in the Forgotten Realms
1,Island,,267,Adventures in the Forgotten Realms
1,Island,,268,Adventures in the Forgotten Realms
1,Island,,269,Adventures in the Forgotten Realms
2,Forest,,278,Adventures in the Forgotten Realms
2,Forest,,279,Adventures in the Forgotten Realms
2,Forest,,280,Adventures in the Forgotten Realms
2,Forest,,281,Adventures in the Forgotten Realms
4,Angel // Saproling,,6,Extras: Adventures in the Forgotten Realms Commander
6,Knight // Saproling,,7,Extras: Adventures in the Forgotten Realms Commander
