Count,Name,Foil,Card Number,Edition
1,Sefris of the Hidden Ways,foil,3,Forgotten Realms Display Commanders
1,Sefris of the Hidden Ways,foil,3,Adventures in the Forgotten Realms Commander
1,Nihiloor,foil,53,Adventures in the Forgotten Realms Commander
1,Immovable Rod,,7,Adventures in the Forgotten Realms Commander
1,Radiant Solar,,9,Adventures in the Forgotten Realms Commander
1,Revivify,,10,Adventures in the Forgotten Realms Commander
1,Thorough Investigation,,12,Adventures in the Forgotten Realms Commander
1,Arcane Endeavor,,14,Adventures in the Forgotten Realms Commander
1,"Minn, Wily Illusionist",,16,Adventures in the Forgotten Realms Commander
1,Phantom Steed,,18,Adventures in the Forgotten Realms Commander
1,Rod of Absorption,,19,Adventures in the Forgotten Realms Commander
1,Grave Endeavor,,24,Adventures in the Forgotten Realms Commander
1,Wand of Orcus,,28,Adventures in the Forgotten Realms Commander
1,Extract Brain,,46,Adventures in the Forgotten Realms Commander
1,Midnight Pathlighter,,52,Adventures in the Forgotten Realms Commander
1,Bucknard's Everfull Purse,,57,Adventures in the Forgotten Realms Commander
1,Clay Golem,,58,Adventures in the Forgotten Realms Commander
1,Component Pouch,,59,Adventures in the Forgotten Realms Commander
1,Cataclysmic Gearhulk,,65,Adventures in the Forgotten Realms Commander
1,Eternal Dragon,,66,Adventures in the Forgotten Realms Commander
1,Karmic Guide,,68,Adventures in the Forgotten Realms Commander
1,Ronom Unicorn,,71,Adventures in the Forgotten Realms Commander
1,Sun Titan,,73,Adventures in the Forgotten Realms Commander
1,Sunblast Angel,,74,Adventures in the Forgotten Realms Commander
1,Swords to Plowshares,,75,Adventures in the Forgotten Realms Commander
1,Wall of Omens,,77,Adventures in the Forgotten Realms Commander
1,Champion of Wits,,80,Adventures in the Forgotten Realms Commander
1,Curator of Mysteries,,81,Adventures in the Forgotten Realms Commander
1,Forbidden Alchemy,,84,Adventures in the Forgotten Realms Commander
1,Merfolk Looter,,86,Adventures in the Forgotten Realms Commander
1,Mulldrifter,,87,Adventures in the Forgotten Realms Commander
1,Murder of Crows,,88,Adventures in the Forgotten Realms Commander
1,Phantasmal Image,,89,Adventures in the Forgotten Realms Commander
1,Propaganda,,91,Adventures in the Forgotten Realms Commander
1,Doomed Necromancer,,98,Adventures in the Forgotten Realms Commander
1,Necromantic Selection,,103,Adventures in the Forgotten Realms Commander
1,Plaguecrafter,,107,Adventures in the Forgotten Realms Commander
1,Reassembling Skeleton,,109,Adventures in the Forgotten Realms Commander
1,Shriekmaw,,110,Adventures in the Forgotten Realms Commander
1,Unburial Rites,,111,Adventures in the Forgotten Realms Commander
1,Victimize,,112,Adventures in the Forgotten Realms Commander
1,Ashen Rider,,175,Adventures in the Forgotten Realms Commander
1,Baleful Strix,,177,Adventures in the Forgotten Realms Commander
1,Cloudblazer,,182,Adventures in the Forgotten Realms Commander
1,Despark,,184,Adventures in the Forgotten Realms Commander
1,Hostage Taker,,186,Adventures in the Forgotten Realms Commander
1,Necrotic Sliver,,188,Adventures in the Forgotten Realms Commander
1,Obsessive Stitcher,,189,Adventures in the Forgotten Realms Commander
1,Utter End,,195,Adventures in the Forgotten Realms Commander
1,Vanish into Memory,,196,Adventures in the Forgotten Realms Commander
1,Arcane Signet,,197,Adventures in the Forgotten Realms Commander
1,Burnished Hart,,200,Adventures in the Forgotten Realms Commander
1,Commander's Sphere,,203,Adventures in the Forgotten Realms Commander
1,Fellwar Stone,,206,Adventures in the Forgotten Realms Commander
1,Meteor Golem,,210,Adventures in the Forgotten Realms Commander
1,Sol Ring,,215,Adventures in the Forgotten Realms Commander
1,Solemn Simulacrum,,216,Adventures in the Forgotten Realms Commander
1,Wayfarer's Bauble,,222,Adventures in the Forgotten Realms Commander
1,Arcane Sanctum,,223,Adventures in the Forgotten Realms Commander
1,Azorius Chancery,,224,Adventures in the Forgotten Realms Commander
1,Choked Estuary,,228,Adventures in the Forgotten Realms Commander
