Count,Name,Foil,Card Number,Edition
1,"Firkraag, Cunning Instigator",foil,933,Commander Legends: Battle for Baldur's Gate
1,"Firkraag, Cunning Instigator",foil,648,Commander Legends: Battle for Baldur's Gate
1,Clan Crafter,foil,651,Commander Legends: Battle for Baldur's Gate
1,"Baeloth Barrityl, Entertainer",foil,655,Commander Legends: Battle for Baldur's Gate
1,Artificer Class,,663,Commander Legends: Battle for Baldur's Gate
1,Astral Dragon,,664,Commander Legends: Battle for Baldur's Gate
1,Mocking Doppelganger,,667,Commander Legends: Battle for Baldur's Gate
1,Bothersome Quasit,,674,Commander Legends: Battle for Baldur's Gate
1,Death Kiss,,675,Commander Legends: Battle for Baldur's Gate
1,Loot Dispute,,677,Commander Legends: Battle for Baldur's Gate
1,Spectacular Showdown,,679,Commander Legends: Battle for Baldur's Gate
1,Aether Gale,,712,Commander Legends: Battle for Baldur's Gate
1,Angler Turtle,,713,Commander Legends: Battle for Baldur's Gate
1,Compulsive Research,,715,Commander Legends: Battle for Baldur's Gate
1,Curse of the Swine,,716,Commander Legends: Battle for Baldur's Gate
1,Curse of Verbosity,,717,Commander Legends: Battle for Baldur's Gate
1,Dissipation Field,,718,Commander Legends: Battle for Baldur's Gate
1,Domineering Will,,719,Commander Legends: Battle for Baldur's Gate
1,"Keiga, the Tide Star",,725,Commander Legends: Battle for Baldur's Gate
1,Midnight Clock,,727,Commander Legends: Battle for Baldur's Gate
1,Propaganda,,730,Commander Legends: Battle for Baldur's Gate
1,Pursued Whale,,732,Commander Legends: Battle for Baldur's Gate
1,Reins of Power,,734,Commander Legends: Battle for Baldur's Gate
1,Sly Instigator,,736,Commander Legends: Battle for Baldur's Gate
1,Will Kenrith,,738,Commander Legends: Battle for Baldur's Gate
1,Agitator Ant,,776,Commander Legends: Battle for Baldur's Gate
1,The Akroan War,,777,Commander Legends: Battle for Baldur's Gate
1,Avatar of Slaughter,,779,Commander Legends: Battle for Baldur's Gate
1,Blasphemous Act,,780,Commander Legends: Battle for Baldur's Gate
1,Brash Taunter,,782,Commander Legends: Battle for Baldur's Gate
1,Chain Reaction,,783,Commander Legends: Battle for Baldur's Gate
1,Chaos Dragon,,784,Commander Legends: Battle for Baldur's Gate
1,Chaos Warp,,785,Commander Legends: Battle for Baldur's Gate
1,Curse of Opulence,,786,Commander Legends: Battle for Baldur's Gate
1,Disrupt Decorum,,789,Commander Legends: Battle for Baldur's Gate
1,"Drakuseth, Maw of Flames",,790,Commander Legends: Battle for Baldur's Gate
