Count,Name,Foil,Card Number,Edition
1,"Faldorn, Dread Wolf Herald",foil,932,Commander Legends: Battle for Baldur's Gate
1,"Faldorn, Dread Wolf Herald",foil,647,Commander Legends: Battle for Baldur's Gate
1,Passionate Archaeologist,foil,656,Commander Legends: Battle for Baldur's Gate
1,Durnan of the Yawning Portal,foil,657,Commander Legends: Battle for Baldur's Gate
1,Delayed Blast Fireball,,676,Commander Legends: Battle for Baldur's Gate
1,Nalfeshnee,,678,Commander Legends: Battle for Baldur's Gate
1,Green Slime,,680,Commander Legends: Battle for Baldur's Gate
1,Journey to the Lost City,,681,Commander Legends: Battle for Baldur's Gate
1,Tlincalli Hunter // Retrieve Prey,,682,Commander Legends: Battle for Baldur's Gate
1,Venture Forth,,683,Commander Legends: Battle for Baldur's Gate
1,Sarevok's Tome,,685,Commander Legends: Battle for Baldur's Gate
1,Aurora Phoenix,,778,Commander Legends: Battle for Baldur's Gate
1,Bonecrusher Giant // Stomp,,781,Commander Legends: Battle for Baldur's Gate
1,Demon Bolt,,787,Commander Legends: Battle for Baldur's Gate
1,Dire Fleet Daredevil,,788,Commander Legends: Battle for Baldur's Gate
1,Dream Pillager,,791,Commander Legends: Battle for Baldur's Gate
1,Embereth Shieldbreaker // Battle Display,,792,Commander Legends: Battle for Baldur's Gate
1,"Etali, Primal Storm",,793,Commander Legends: Battle for Baldur's Gate
1,Greater Gargadon,,796,Commander Legends: Battle for Baldur's Gate
1,Ignite the Future,,797,Commander Legends: Battle for Baldur's Gate
1,Izzet Chemister,,798,Commander Legends: Battle for Baldur's Gate
1,Jeska's Will,,799,Commander Legends: Battle for Baldur's Gate
1,"Laelia, the Blade Reforged",,801,Commander Legends: Battle for Baldur's Gate
1,Light Up the Stage,,802,Commander Legends: Battle for Baldur's Gate
1,Mizzium Mortars,,803,Commander Legends: Battle for Baldur's Gate
1,Outpost Siege,,804,Commander Legends: Battle for Baldur's Gate
1,Stolen Strategy,,807,Commander Legends: Battle for Baldur's Gate
1,Tectonic Giant,,808,Commander Legends: Battle for Baldur's Gate
1,Urabrask the Hidden,,811,Commander Legends: Battle for Baldur's Gate
1,Volcanic Torrent,,813,Commander Legends: Battle for Baldur's Gate
1,Warstorm Surge,,815,Commander Legends: Battle for Baldur's Gate
1,Wild-Magic Sorcerer,,816,Commander Legends: Battle for Baldur's Gate
1,Arasta of the Endless Web,,817,Commander Legends: Battle for Baldur's Gate
1,Battle Mammoth,,818,Commander Legends: Battle for Baldur's Gate
1,Beanstalk Giant // Fertile Footsteps,,819,Commander Legends: Battle for Baldur's Gate
1,Beast Within,,820,Commander Legends: Battle for Baldur's Gate
1,Cultivate,,821,Commander Legends: Battle for Baldur's Gate
1,End-Raze Forerunners,,822,Commander Legends: Battle for Baldur's Gate
1,Explore,,823,Commander Legends: Battle for Baldur's Gate
1,Ezuri's Predation,,824,Commander Legends: Battle for Baldur's Gate
1,Hornet Queen,,825,Commander Legends: Battle for Baldur's Gate
1,Kodama's Reach,,826,Commander Legends: Battle for Baldur's Gate
1,Lovestruck Beast // Heart's Desire,,827,Commander Legends: Battle for Baldur's Gate
1,Managorger Hydra,,828,Commander Legends: Battle for Baldur's Gate
1,Natural Reclamation,,829,Commander Legends: Battle for Baldur's Gate
1,Primeval Bounty,,830,Commander Legends: Battle for Baldur's Gate
1,Return of the Wildspeaker,,831,Commander Legends: Battle for Baldur's Gate
1,Sakura-Tribe Elder,,832,Commander Legends: Battle for Baldur's Gate
1,Sandwurm Convergence,,833,Commander Legends: Battle for Baldur's Gate
1,Search for Tomorrow,,834,Commander Legends: Battle for Baldur's Gate
1,Sweet-Gum Recluse,,835,Commander Legends: Battle for Baldur's Gate
1,Terramorph,,836,Commander Legends: Battle for Baldur's Gate
1,Three Visits,,837,Commander Legends: Battle for Baldur's Gate
1,"Vivien, Champion of the Wilds",,838,Commander Legends: Battle for Baldur's Gate
1,Bloodbraid Elf,,839,Commander Legends: Battle for Baldur's Gate
1,Escape to the Wilds,,843,Commander Legends: Battle for Baldur's Gate
1,"Grumgully, the Generous",,847,Commander Legends: Battle for Baldur's Gate
1,"Xenagos, the Reveler",,853,Commander Legends: Battle for Baldur's Gate
