Count,Name,Foil,Card Number,Edition
1,Captain N'ghathrod,foil,931,Commander Legends: Battle for Baldur's Gate
1,Captain N'ghathrod,foil,646,Commander Legends: Battle for Baldur's Gate
1,"Zellix, Sanity Flayer",foil,652,Commander Legends: Battle for Baldur's Gate
1,Haunted One,foil,654,Commander Legends: Battle for Baldur's Gate
1,Aboleth Spawn,,662,Commander Legends: Battle for Baldur's Gate
1,Endless Evil,,665,Commander Legends: Battle for Baldur's Gate
1,Grell Philosopher,,666,Commander Legends: Battle for Baldur's Gate
1,Psionic Ritual,,668,Commander Legends: Battle for Baldur's Gate
1,Brainstealer Dragon,,670,Commander Legends: Battle for Baldur's Gate
1,From the Catacombs,,671,Commander Legends: Battle for Baldur's Gate
1,Uchuulon,,673,Commander Legends: Battle for Baldur's Gate
1,Chasm Skulker,,714,Commander Legends: Battle for Baldur's Gate
1,Fact or Fiction,,720,Commander Legends: Battle for Baldur's Gate
1,Forgotten Creation,,721,Commander Legends: Battle for Baldur's Gate
1,Fractured Sanity,,722,Commander Legends: Battle for Baldur's Gate
1,"Grazilaxx, Illithid Scholar",,723,Commander Legends: Battle for Baldur's Gate
1,Hullbreaker Horror,,724,Commander Legends: Battle for Baldur's Gate
1,Leyline of Anticipation,,726,Commander Legends: Battle for Baldur's Gate
1,Mind Flayer,,728,Commander Legends: Battle for Baldur's Gate
1,Overcharged Amalgam,,729,Commander Legends: Battle for Baldur's Gate
1,Pull from Tomorrow,,731,Commander Legends: Battle for Baldur's Gate
1,Reflections of Littjara,,733,Commander Legends: Battle for Baldur's Gate
1,Sludge Monster,,735,Commander Legends: Battle for Baldur's Gate
1,Wharf Infiltrator,,737,Commander Legends: Battle for Baldur's Gate
1,Black Market,,739,Commander Legends: Battle for Baldur's Gate
1,Crippling Fear,,745,Commander Legends: Battle for Baldur's Gate
1,Curtains' Call,,746,Commander Legends: Battle for Baldur's Gate
1,Dark Hatchling,,747,Commander Legends: Battle for Baldur's Gate
1,Dauthi Horror,,748,Commander Legends: Battle for Baldur's Gate
1,Dross Harvester,,750,Commander Legends: Battle for Baldur's Gate
1,Dusk Mangler,,751,Commander Legends: Battle for Baldur's Gate
1,Feed the Swarm,,752,Commander Legends: Battle for Baldur's Gate
1,Guiltfeeder,,756,Commander Legends: Battle for Baldur's Gate
1,Hex,,757,Commander Legends: Battle for Baldur's Gate
1,Hunted Horror,,758,Commander Legends: Battle for Baldur's Gate
1,In Garruk's Wake,,759,Commander Legends: Battle for Baldur's Gate
1,Nighthowler,,764,Commander Legends: Battle for Baldur's Gate
1,Nihilith,,765,Commander Legends: Battle for Baldur's Gate
1,Phyrexian Rager,,766,Commander Legends: Battle for Baldur's Gate
1,Plague Spitter,,767,Commander Legends: Battle for Baldur's Gate
1,Ravenous Chupacabra,,770,Commander Legends: Battle for Baldur's Gate
1,Sewer Nemesis,,771,Commander Legends: Battle for Baldur's Gate
1,Syphon Mind,,772,Commander Legends: Battle for Baldur's Gate
1,Woe Strider,,774,Commander Legends: Battle for Baldur's Gate
1,Consuming Aberration,,840,Commander Legends: Battle for Baldur's Gate
1,Drown in the Loch,,842,Commander Legends: Battle for Baldur's Gate
1,Extract from Darkness,,844,Commander Legends: Battle for Baldur's Gate
1,Memory Plunder,,849,Commander Legends: Battle for Baldur's Gate
1,Nemesis of Reason,,850,Commander Legends: Battle for Baldur's Gate
1,Dimir Keyrune,,856,Commander Legends: Battle for Baldur's Gate
1,Dimir Signet,,857,Commander Legends: Battle for Baldur's Gate
1,Everflowing Chalice,,859,Commander Legends: Battle for Baldur's Gate
1,Herald's Horn,,862,Commander Legends: Battle for Baldur's Gate
1,Lightning Greaves,,864,Commander Legends: Battle for Baldur's Gate
1,Mindcrank,,866,Commander Legends: Battle for Baldur's Gate
1,Phyrexian Revoker,,868,Commander Legends: Battle for Baldur's Gate
1,Psychosis Crawler,,869,Commander Legends: Battle for Baldur's Gate
1,Sol Ring,,871,Commander Legends: Battle for Baldur's Gate
1,Spellskite,,873,Commander Legends: Battle for Baldur's Gate
1,Talisman of Dominance,,877,Commander Legends: Battle for Baldur's Gate
1,Thought Vessel,,879,Commander Legends: Battle for Baldur's Gate
1,Ash Barrens,,880,Commander Legends: Battle for Baldur's Gate
1,Choked Estuary,,886,Commander Legends: Battle for Baldur's Gate
1,Creeping Tar Pit,,888,Commander Legends: Battle for Baldur's Gate
1,Darkwater Catacombs,,889,Commander Legends: Battle for Baldur's Gate
1,Dimir Aqueduct,,891,Commander Legends: Battle for Baldur's Gate
1,Drownyard Temple,,892,Commander Legends: Battle for Baldur's Gate
1,Exotic Orchard,,893,Commander Legends: Battle for Baldur's Gate
1,Myriad Landscape,,904,Commander Legends: Battle for Baldur's Gate
1,Nephalia Drownyard,,905,Commander Legends: Battle for Baldur's Gate
1,Path of Ancestry,,907,Commander Legends: Battle for Baldur's Gate
1,Port of Karfell,,908,Commander Legends: Battle for Baldur's Gate
1,River of Tears,,912,Commander Legends: Battle for Baldur's Gate
1,Rogue's Passage,,913,Commander Legends: Battle for Baldur's Gate
1,Sunken Hollow,,918,Commander Legends: Battle for Baldur's Gate
1,Tainted Isle,,920,Commander Legends: Battle for Baldur's Gate
1,Temple of Deceit,,922,Commander Legends: Battle for Baldur's Gate
1,Temple of the False God,,925,Commander Legends: Battle for Baldur's Gate
1,Arcane Signet,,298,Commander Legends: Battle for Baldur's Gate
1,Mind Stone,,325,Commander Legends: Battle for Baldur's Gate
1,Command Tower,,351,Commander Legends: Battle for Baldur's Gate
2,Island,,455,Commander Legends: Battle for Baldur's Gate
2,Island,,456,Commander Legends: Battle for Baldur's Gate
3,Island,,457,Commander Legends: Battle for Baldur's Gate
2,Island,,458,Commander Legends: Battle for Baldur's Gate
2,Swamp,,459,Commander Legends: Battle for Baldur's Gate
3,Swamp,,460,Commander Legends: Battle for Baldur's Gate
3,Swamp,,461,Commander Legends: Battle for Baldur's Gate
3,Swamp,,462,Commander Legends: Battle for Baldur's Gate
1,The Initiative // Undercity,,20,Extras: Commander Legends: Battle for Baldur's Gate
4,Copy // Squid,,72,Extras: Commander Legends: Battle for Baldur's Gate
3,Eldrazi Horror // Horror,,75,Extras: Commander Legends: Battle for Baldur's Gate
2,Horror // Centaur,,82,Extras: Commander Legends: Battle for Baldur's Gate
