Count,Name,Foil,Card Number,Edition,Token Info
1,Nalia de'Arnise,foil,649,Commander Legends: Battle for Baldur's Gate,
1,Folk Hero,foil,650,Commander Legends: Battle for Baldur's Gate,
1,"Burakos, Party Leader",foil,653,Commander Legends: Battle for Baldur's Gate,
1,Deep Gnome Terramancer,,658,Commander Legends: Battle for Baldur's Gate,
1,Harper Recruiter,,659,Commander Legends: Battle for Baldur's Gate,
1,Seasoned Dungeoneer,,660,Commander Legends: Battle for Baldur's Gate,
1,Stick Together,,661,Commander Legends: Battle for Baldur's Gate,
1,Black Market Connections,,669,Commander Legends: Battle for Baldur's Gate,
1,Solemn Doomguide,,672,Commander Legends: Battle for Baldur's Gate,
1,Multiclass Baldric,,684,Commander Legends: Battle for Baldur's Gate,
1,Archpriest of Iona,,686,Commander Legends: Battle for Baldur's Gate,
1,Austere Command,,687,Commander Legends: Battle for Baldur's Gate,
1,Aven Mindcensor,,688,Commander Legends: Battle for Baldur's Gate,
1,Bygone Bishop,,689,Commander Legends: Battle for Baldur's Gate,
1,Crib Swap,,690,Commander Legends: Battle for Baldur's Gate,
1,Dusk // Dawn,,691,Commander Legends: Battle for Baldur's Gate,
1,Eight-and-a-Half-Tails,,692,Commander Legends: Battle for Baldur's Gate,
1,Frontline Medic,,693,Commander Legends: Battle for Baldur's Gate,
1,Galepowder Mage,,694,Commander Legends: Battle for Baldur's Gate,
1,Glorious Protector,,695,Commander Legends: Battle for Baldur's Gate,
1,Irregular Cohort,,696,Commander Legends: Battle for Baldur's Gate,
1,Jazal Goldmane,,697,Commander Legends: Battle for Baldur's Gate,
1,Mage's Attendant,,698,Commander Legends: Battle for Baldur's Gate,
1,Magus of the Balance,,699,Commander Legends: Battle for Baldur's Gate,
1,"Mikaeus, the Lunarch",,700,Commander Legends: Battle for Baldur's Gate,
1,Mirror Entity,,701,Commander Legends: Battle for Baldur's Gate,
1,Mother of Runes,,702,Commander Legends: Battle for Baldur's Gate,
1,Order of Whiteclay,,703,Commander Legends: Battle for Baldur's Gate,
1,Priest of Ancient Lore,,704,Commander Legends: Battle for Baldur's Gate,
1,Rumor Gatherer,,705,Commander Legends: Battle for Baldur's Gate,
1,Selfless Spirit,,706,Commander Legends: Battle for Baldur's Gate,
1,Sevinne's Reclamation,,707,Commander Legends: Battle for Baldur's Gate,
1,Solemn Recruit,,708,Commander Legends: Battle for Baldur's Gate,
1,Squad Commander,,709,Commander Legends: Battle for Baldur's Gate,
1,Unbreakable Formation,,710,Commander Legends: Battle for Baldur's Gate,
1,Valiant Changeling,,711,Commander Legends: Battle for Baldur's Gate,
1,Bloodsoaked Champion,,740,Commander Legends: Battle for Baldur's Gate,
1,Butcher of Malakir,,741,Commander Legends: Battle for Baldur's Gate,
1,Calculating Lich,,742,Commander Legends: Battle for Baldur's Gate,
1,Changeling Outcast,,743,Commander Legends: Battle for Baldur's Gate,
1,Corpse Augur,,744,Commander Legends: Battle for Baldur's Gate,
1,Dire Fleet Ravager,,749,Commander Legends: Battle for Baldur's Gate,
1,"Gonti, Lord of Luxury",,753,Commander Legends: Battle for Baldur's Gate,
1,Grim Haruspex,,754,Commander Legends: Battle for Baldur's Gate,
1,Grim Hireling,,755,Commander Legends: Battle for Baldur's Gate,
1,Malakir Blood-Priest,,760,Commander Legends: Battle for Baldur's Gate,
1,Mardu Strike Leader,,761,Commander Legends: Battle for Baldur's Gate,
1,Mindblade Render,,762,Commander Legends: Battle for Baldur's Gate,
1,Nighthawk Scavenger,,763,Commander Legends: Battle for Baldur's Gate,
1,Pontiff of Blight,,768,Commander Legends: Battle for Baldur's Gate,
1,Puppeteer Clique,,769,Commander Legends: Battle for Baldur's Gate,
1,Thwart the Grave,,773,Commander Legends: Battle for Baldur's Gate,
1,Zulaport Cutthroat,,775,Commander Legends: Battle for Baldur's Gate,
1,Despark,,841,Commander Legends: Battle for Baldur's Gate,
1,"Felisa, Fang of Silverquill",,845,Commander Legends: Battle for Baldur's Gate,
1,Firja's Retribution,,846,Commander Legends: Battle for Baldur's Gate,
1,High Priest of Penance,,848,Commander Legends: Battle for Baldur's Gate,
1,Maskwood Nexus,,865,Commander Legends: Battle for Baldur's Gate,
1,Orzhov Signet,,867,Commander Legends: Battle for Baldur's Gate,
1,Skullclamp,,870,Commander Legends: Battle for Baldur's Gate,
1,Sol Ring,,871,Commander Legends: Battle for Baldur's Gate,
1,Talisman of Hierarchy,,878,Commander Legends: Battle for Baldur's Gate,
1,Ash Barrens,,880,Commander Legends: Battle for Baldur's Gate,
1,Bojuka Bog,,882,Commander Legends: Battle for Baldur's Gate,
1,Castle Locthwain,,884,Commander Legends: Battle for Baldur's Gate,
1,Mortuary Mire,,900,Commander Legends: Battle for Baldur's Gate,
1,Mutavault,,903,Commander Legends: Battle for Baldur's Gate,
1,Myriad Landscape,,904,Commander Legends: Battle for Baldur's Gate,
1,Orzhov Basilica,,906,Commander Legends: Battle for Baldur's Gate,
1,Path of Ancestry,,907,Commander Legends: Battle for Baldur's Gate,
1,Shambling Vent,,914,Commander Legends: Battle for Baldur's Gate,
1,Snowfield Sinkhole,,915,Commander Legends: Battle for Baldur's Gate,
1,Starlit Sanctum,,917,Commander Legends: Battle for Baldur's Gate,
1,Tainted Field,,919,Commander Legends: Battle for Baldur's Gate,
1,Temple of Silence,,924,Commander Legends: Battle for Baldur's Gate,
1,Vault of the Archangel,,927,Commander Legends: Battle for Baldur's Gate,
1,War Room,,929,Commander Legends: Battle for Baldur's Gate,
1,Windbrisk Heights,,930,Commander Legends: Battle for Baldur's Gate,
1,Arcane Signet,,298,Commander Legends: Battle for Baldur's Gate,
1,Command Tower,,351,Commander Legends: Battle for Baldur's Gate,
2,Plains,,451,Commander Legends: Battle for Baldur's Gate,
3,Plains,,452,Commander Legends: Battle for Baldur's Gate,
3,Plains,,453,Commander Legends: Battle for Baldur's Gate,
2,Plains,,454,Commander Legends: Battle for Baldur's Gate,
3,Swamp,,459,Commander Legends: Battle for Baldur's Gate,
2,Swamp,,460,Commander Legends: Battle for Baldur's Gate,
3,Swamp,,461,Commander Legends: Battle for Baldur's Gate,
2,Swamp,,462,Commander Legends: Battle for Baldur's Gate,

1,The Initiative // Undercity,,20,Extras: Commander Legends: Battle for Baldur's Gate,
1,Treasure // Kor Warrior,,70,Extras: Commander Legends: Battle for Baldur's Gate,
1,Shapeshifter // Clue,,76,Extras: Commander Legends: Battle for Baldur's Gate,
1,Shapeshifter // Kor Warrior,,77,Extras: Commander Legends: Battle for Baldur's Gate,
2,Shapeshifter // Shapeshifter,,78,Extras: Commander Legends: Battle for Baldur's Gate,
1,Angel Warrior // Kor Warrior,,79,Extras: Commander Legends: Battle for Baldur's Gate,
1,Kor Warrior // Wizard,,81,Extras: Commander Legends: Battle for Baldur's Gate,
2,Warrior // Inkling,,83,Extras: Commander Legends: Battle for Baldur's Gate,
