Count,Name,Foil,Card Number,Edition
1,"Aesi, Tyrant of Gyre Strait",foil,365,Commander Legends
1,Trench Behemoth,,366,Commander Legends
1,Stumpsquall Hydra,,367,Commander Legends
1,Elder Deep-Fiend,,368,Commander Legends
1,Arcane Denial,,393,Commander Legends
1,Compulsive Research,,394,Commander Legends
1,Counterspell,,395,Commander Legends
1,Fact or Fiction,,396,Commander Legends
1,Into the Roil,,397,Commander Legends
1,Ior Ruin Expedition,,398,Commander Legends
1,Meloku the Clouded Mirror,,399,Commander Legends
1,Mulldrifter,,400,Commander Legends
1,"Nezahal, Primal Tide",,401,Commander Legends
1,Peel from Reality,,402,Commander Legends
1,Scourge of Fleets,,403,Commander Legends
1,Shipbreaker Kraken,,404,Commander Legends
1,"Slinn Voda, the Rising Deep",,405,Commander Legends
1,Sphinx of Uthuun,,406,Commander Legends
1,Stormtide Leviathan,,407,Commander Legends
1,Tromokratis,,408,Commander Legends
1,Whelming Wave,,409,Commander Legends
1,Acidic Slime,,421,Commander Legends
1,Avenger of Zendikar,,422,Commander Legends
1,Beast Within,,423,Commander Legends
1,Cultivate,,424,Commander Legends
1,Eternal Witness,,425,Commander Legends
1,Explore,,426,Commander Legends
1,Harmonize,,427,Commander Legends
1,Khalni Heart Expedition,,428,Commander Legends
1,Kodama's Reach,,429,Commander Legends
1,"Molimo, Maro-Sorcerer",,430,Commander Legends
1,Rampaging Baloths,,431,Commander Legends
1,Rampant Growth,,432,Commander Legends
1,Ramunap Excavator,,433,Commander Legends
1,Reclamation Sage,,434,Commander Legends
1,Retreat to Kazandu,,435,Commander Legends
1,Search for Tomorrow,,436,Commander Legends
1,Sporemound,,437,Commander Legends
1,Terastodon,,438,Commander Legends
1,Verdant Sun's Avatar,,439,Commander Legends
1,Wickerbough Elder,,440,Commander Legends
1,Yavimaya Elder,,441,Commander Legends
1,Coiling Oracle,,443,Commander Legends
1,Fathom Mage,,445,Commander Legends
1,Growth Spiral,,446,Commander Legends
1,Murkfiend Liege,,448,Commander Legends
1,Sharktocrab,,450,Commander Legends
1,Simic Charm,,451,Commander Legends
1,Simic Sky Swallower,,452,Commander Legends
1,Spitting Image,,453,Commander Legends
1,Urban Evolution,,455,Commander Legends
1,Meteor Golem,,467,Commander Legends
1,Seer's Sundial,,470,Commander Legends
1,Simic Signet,,471,Commander Legends
1,Sol Ring,,472,Commander Legends
1,Swiftfoot Boots,,474,Commander Legends
1,Blighted Woodland,,476,Commander Legends
1,Command Tower,,479,Commander Legends
1,Coral Atoll,,480,Commander Legends
1,Evolving Wilds,,482,Commander Legends
1,Jungle Basin,,484,Commander Legends
1,Memorial to Genius,,485,Commander Legends
1,Reliquary Tower,,488,Commander Legends
1,Simic Growth Chamber,,492,Commander Legends
1,Simic Guildgate,,493,Commander Legends
1,Terramorphic Expanse,,497,Commander Legends
1,Thornwood Falls,,498,Commander Legends
1,Vivid Creek,,500,Commander Legends
1,Vivid Grove,,501,Commander Legends
1,Woodland Stream,,503,Commander Legends
8,Island,,506,Commander Legends
7,Island,,507,Commander Legends
8,Forest,,510,Commander Legends
7,Forest,,511,Commander Legends
2,Illusion // Plant,,26,Extras: Commander Legends
2,Illusion // Saproling,,27,Extras: Commander Legends
1,Beast // Beast,,28,Extras: Commander Legends
3,Beast // Elephant,,29,Extras: Commander Legends
2,Copy // Saproling,,30,Extras: Commander Legends
