Count,Name,Foil,Card Number,Edition
1,Ranar the Ever-Watchful,foil,2,Kaldheim Commander
1,Cosmic Intervention,,3,Kaldheim Commander
1,Hero of Bretagard,,4,Kaldheim Commander
1,Stoic Farmer,,5,Kaldheim Commander
1,Sage of the Beyond,,6,Kaldheim Commander
1,Spectral Deluge,,7,Kaldheim Commander
1,Tales of the Ancestors,,8,Kaldheim Commander
1,Ethereal Valkyrie,,16,Kaldheim Commander
1,Angel of Finality,,17,Kaldheim Commander
1,Angel of Serenity,,18,Kaldheim Commander
1,Banishing Light,,19,Kaldheim Commander
1,Cleansing Nova,,20,Kaldheim Commander
1,Cloudgoat Ranger,,21,Kaldheim Commander
1,Eerie Interlude,,22,Kaldheim Commander
1,Evangel of Heliod,,23,Kaldheim Commander
1,Flickerwisp,,24,Kaldheim Commander
1,Geist-Honored Monk,,25,Kaldheim Commander
1,Ghostly Prison,,26,Kaldheim Commander
1,Goldnight Commander,,27,Kaldheim Commander
1,Kor Cartographer,,28,Kaldheim Commander
1,Marshal's Anthem,,29,Kaldheim Commander
1,Momentary Blink,,30,Kaldheim Commander
1,Restoration Angel,,31,Kaldheim Commander
1,Return to Dust,,32,Kaldheim Commander
1,Storm Herd,,33,Kaldheim Commander
1,Sun Titan,,34,Kaldheim Commander
1,Wall of Omens,,35,Kaldheim Commander
1,Arcane Artisan,,36,Kaldheim Commander
1,Curse of the Swine,,37,Kaldheim Commander
1,Day of the Dragons,,38,Kaldheim Commander
1,Ghostly Flicker,,39,Kaldheim Commander
1,Inspired Sphinx,,40,Kaldheim Commander
1,Mist Raven,,41,Kaldheim Commander
1,Mulldrifter,,42,Kaldheim Commander
1,Sea Gate Oracle,,43,Kaldheim Commander
1,Synthetic Destiny,,44,Kaldheim Commander
1,Whirler Rogue,,45,Kaldheim Commander
1,Windfall,,46,Kaldheim Commander
1,"Brago, King Eternal",,82,Kaldheim Commander
1,Cloudblazer,,84,Kaldheim Commander
1,Empyrean Eagle,,85,Kaldheim Commander
1,Migratory Route,,87,Kaldheim Commander
1,Mistmeadow Witch,,88,Kaldheim Commander
1,Soulherder,,93,Kaldheim Commander
1,Thunderclap Wyvern,,94,Kaldheim Commander
1,Arcane Signet,,96,Kaldheim Commander
1,Azorius Signet,,97,Kaldheim Commander
1,Burnished Hart,,98,Kaldheim Commander
1,Commander's Sphere,,99,Kaldheim Commander
1,Marble Diamond,,100,Kaldheim Commander
1,Meteor Golem,,101,Kaldheim Commander
1,Mind Stone,,102,Kaldheim Commander
1,Sky Diamond,,103,Kaldheim Commander
1,Sol Ring,,104,Kaldheim Commander
1,Swiftfoot Boots,,105,Kaldheim Commander
1,Azorius Chancery,,106,Kaldheim Commander
1,Azorius Guildgate,,107,Kaldheim Commander
1,Command Tower,,108,Kaldheim Commander
1,Cryptic Caves,,109,Kaldheim Commander
1,Meandering River,,114,Kaldheim Commander
1,Myriad Landscape,,115,Kaldheim Commander
1,Opal Palace,,116,Kaldheim Commander
1,Sejiri Refuge,,118,Kaldheim Commander
1,Tranquil Cove,,119,Kaldheim Commander
1,Iron Verdict,,17,Kaldheim
1,Warhorn Blast,,38,Kaldheim
1,Behold the Multiverse,,46,Kaldheim
1,Ravenform,,72,Kaldheim
1,Saw It Coming,,76,Kaldheim
1,Niko Defies Destiny,,226,Kaldheim
1,"Vega, the Watcher",,233,Kaldheim
1,Replicating Ring,,244,Kaldheim
1,Gates of Istfell,,256,Kaldheim
1,Glacial Floodplain,,257,Kaldheim
1,Surtland Elementalist,,375,Kaldheim
13,Plains,,394,Kaldheim
12,Island,,395,Kaldheim
1,Bird // Spirit,,1,Extras: Kaldheim Commander
1,Bird // Soldier,,2,Extras: Kaldheim Commander
1,Bird // Soldier,,3,Extras: Kaldheim Commander
2,Kithkin Soldier // Pegasus,,4,Extras: Kaldheim Commander
3,Spirit // Boar,,5,Extras: Kaldheim Commander
1,Thopter // Replicated Ring,,8,Extras: Kaldheim Commander
1,Thopter // Dragon,,9,Extras: Kaldheim Commander
