Count,Name,Foil,Card Number,Edition,Language
1,"Leinore, Autumn Sovereign",foil,1,Innistrad: Midnight Hunt Commander,English
1,"Kyler, Sigardian Emissary",foil,4,Innistrad: Midnight Hunt Commander,English
1,Celestial Judgment,,5,Innistrad: Midnight Hunt Commander,English
1,Curse of Conformity,,6,Innistrad: Midnight Hunt Commander,English
1,Moorland Rescuer,,7,Innistrad: Midnight Hunt Commander,English
1,Sigarda's Vanguard,,8,Innistrad: Midnight Hunt Commander,English
1,Stalwart Pathlighter,,9,Innistrad: Midnight Hunt Commander,English
1,Wall of Mourning,,10,Innistrad: Midnight Hunt Commander,English
1,Celebrate the Harvest,,24,Innistrad: Midnight Hunt Commander,English
1,Curse of Clinging Webs,,25,Innistrad: Midnight Hunt Commander,English
1,Heronblade Elite,,26,Innistrad: Midnight Hunt Commander,English
1,"Kurbis, Harvest Celebrant",,27,Innistrad: Midnight Hunt Commander,English
1,Ruinous Intrusion,,28,Innistrad: Midnight Hunt Commander,English
1,Sigardian Zealot,,29,Innistrad: Midnight Hunt Commander,English
1,Somberwald Beastmaster,,30,Innistrad: Midnight Hunt Commander,English
1,Abzan Falconer,,77,Innistrad: Midnight Hunt Commander,English
1,Ainok Bond-Kin,,78,Innistrad: Midnight Hunt Commander,English
1,Angel of Glory's Rise,,79,Innistrad: Midnight Hunt Commander,English
1,Bastion Protector,,80,Innistrad: Midnight Hunt Commander,English
1,Citadel Siege,,81,Innistrad: Midnight Hunt Commander,English
1,Cleansing Nova,,82,Innistrad: Midnight Hunt Commander,English
1,Custodi Soulbinders,,83,Innistrad: Midnight Hunt Commander,English
1,Dearly Departed,,84,Innistrad: Midnight Hunt Commander,English
1,Elite Scaleguard,,85,Innistrad: Midnight Hunt Commander,English
1,Herald of War,,86,Innistrad: Midnight Hunt Commander,English
1,Hour of Reckoning,,87,Innistrad: Midnight Hunt Commander,English
1,Knight of the White Orchid,,88,Innistrad: Midnight Hunt Commander,English
1,"Mikaeus, the Lunarch",,89,Innistrad: Midnight Hunt Commander,English
1,"Odric, Master Tactician",,90,Innistrad: Midnight Hunt Commander,English
1,Orzhov Advokist,,91,Innistrad: Midnight Hunt Commander,English
1,Return to Dust,,92,Innistrad: Midnight Hunt Commander,English
1,Riders of Gavony,,93,Innistrad: Midnight Hunt Commander,English
1,Swords to Plowshares,,94,Innistrad: Midnight Hunt Commander,English
1,Unbreakable Formation,,95,Innistrad: Midnight Hunt Commander,English
1,Victory's Envoy,,96,Innistrad: Midnight Hunt Commander,English
1,Avacyn's Pilgrim,,132,Innistrad: Midnight Hunt Commander,English
