Count,Name,Foil,Card Number,Edition
1,"Perrie, the Pulverizer",foil,5,Streets of New Capenna Commander
1,"Kros, Defense Contractor",foil,7,Streets of New Capenna Commander
1,Angelic Sleuth,,12,Streets of New Capenna Commander
1,Contractual Safeguard,,14,Streets of New Capenna Commander
1,Damning Verdict,,15,Streets of New Capenna Commander
1,Resourceful Defense,,19,Streets of New Capenna Commander
1,Skyboon Evangelist,,20,Streets of New Capenna Commander
1,Aven Courier,,22,Streets of New Capenna Commander
1,Shield Broker,,29,Streets of New Capenna Commander
1,Storm of Forms,,32,Streets of New Capenna Commander
1,Bribe Taker,,55,Streets of New Capenna Commander
1,Family's Favor,,59,Streets of New Capenna Commander
1,Park Heights Maverick,,63,Streets of New Capenna Commander
1,Agent's Toolkit,,66,Streets of New Capenna Commander
1,Brokers Confluence,,68,Streets of New Capenna Commander
1,"Denry Klin, Editor in Chief",,71,Streets of New Capenna Commander
1,Gavel of the Righteous,,83,Streets of New Capenna Commander
1,Avenging Huntbonder,,194,Streets of New Capenna Commander
1,Declaration in Stone,,196,Streets of New Capenna Commander
1,Generous Gift,,201,Streets of New Capenna Commander
1,Grateful Apparition,,202,Streets of New Capenna Commander
1,Hoofprints of the Stag,,203,Streets of New Capenna Commander
1,Luminarch Aspirant,,205,Streets of New Capenna Commander
1,Planar Outburst,,209,Streets of New Capenna Commander
1,Together Forever,,212,Streets of New Capenna Commander
1,Midnight Clock,,226,Streets of New Capenna Commander
1,Skyship Plunderer,,232,Streets of New Capenna Commander
1,Tezzeret's Gambit,,235,Streets of New Capenna Commander
1,Thrummingbird,,236,Streets of New Capenna Commander
1,Wingspan Mentor,,239,Streets of New Capenna Commander
1,Devoted Druid,,286,Streets of New Capenna Commander
1,Evolution Sage,,287,Streets of New Capenna Commander
1,Forgotten Ancient,,291,Streets of New Capenna Commander
1,Incubation Druid,,296,Streets of New Capenna Commander
1,"Rishkar, Peema Renegade",,305,Streets of New Capenna Commander
1,Rishkar's Expertise,,306,Streets of New Capenna Commander
1,Scavenging Ooze,,309,Streets of New Capenna Commander
1,Slippery Bogbonder,,312,Streets of New Capenna Commander
1,Steelbane Hydra,,313,Streets of New Capenna Commander
1,Wall of Roots,,319,Streets of New Capenna Commander
1,Wickerbough Elder,,320,Streets of New Capenna Commander
1,Ajani Unyielding,,324,Streets of New Capenna Commander
1,Aven Mimeomancer,,329,Streets of New Capenna Commander
1,Bant Charm,,330,Streets of New Capenna Commander
1,Fathom Mage,,339,Streets of New Capenna Commander
1,"Jenara, Asura of War",,343,Streets of New Capenna Commander
1,Primal Empathy,,348,Streets of New Capenna Commander
1,"Roalesk, Apex Hybrid",,349,Streets of New Capenna Commander
1,Urban Evolution,,355,Streets of New Capenna Commander
1,Vorel of the Hull Clade,,357,Streets of New Capenna Commander
1,Arcane Signet,,360,Streets of New Capenna Commander
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Crystalline Giant,,364,Streets of New Capenna Commander
1,Everflowing Chalice,,366,Streets of New Capenna Commander
1,Fellwar Stone,,367,Streets of New Capenna Commander
1,Oblivion Stone,,373,Streets of New Capenna Commander
1,Oracle's Vault,,374,Streets of New Capenna Commander
1,Power Conduit,,376,Streets of New Capenna Commander
1,Sol Ring,,379,Streets of New Capenna Commander
1,Swiftfoot Boots,,382,Streets of New Capenna Commander
1,Ash Barrens,,386,Streets of New Capenna Commander
1,Bant Panorama,,387,Streets of New Capenna Commander
1,Canopy Vista,,389,Streets of New Capenna Commander
1,Command Tower,,395,Streets of New Capenna Commander
1,Exotic Orchard,,400,Streets of New Capenna Commander
1,Flooded Grove,,402,Streets of New Capenna Commander
1,Fortified Village,,404,Streets of New Capenna Commander
1,Gavony Township,,406,Streets of New Capenna Commander
1,Karn's Bastion,,410,Streets of New Capenna Commander
1,Littjara Mirrorlake,,412,Streets of New Capenna Commander
1,Llanowar Reborn,,413,Streets of New Capenna Commander
1,Myriad Landscape,,416,Streets of New Capenna Commander
1,Nesting Grounds,,418,Streets of New Capenna Commander
1,Path of Ancestry,,419,Streets of New Capenna Commander
1,Port Town,,420,Streets of New Capenna Commander
1,Prairie Stream,,421,Streets of New Capenna Commander
1,Seaside Citadel,,425,Streets of New Capenna Commander
1,Skycloud Expanse,,427,Streets of New Capenna Commander
1,Sungrass Prairie,,430,Streets of New Capenna Commander
1,Temple of Mystery,,434,Streets of New Capenna Commander
1,Vivid Creek,,444,Streets of New Capenna Commander
1,Vivid Grove,,445,Streets of New Capenna Commander
1,Vivid Meadow,,446,Streets of New Capenna Commander
1,Brokers Charm,,171,Streets of New Capenna
1,Exotic Pets,,185,Streets of New Capenna
1,Brokers Hideout,,248,Streets of New Capenna
2,Plains,,262,Streets of New Capenna
2,Plains,,263,Streets of New Capenna
2,Island,,264,Streets of New Capenna
1,Island,,265,Streets of New Capenna
2,Forest,,270,Streets of New Capenna
2,Forest,,271,Streets of New Capenna
1,Plains,,273,Streets of New Capenna
1,Island,,275,Streets of New Capenna
1,Forest,,281,Streets of New Capenna

5,Elemental // Clue,,28,Extras: Streets of New Capenna Commander
2,Fish // Clue,,29,Extras: Streets of New Capenna Commander
2,Elephant // Clue,,30,Extras: Streets of New Capenna Commander
1,Copy // Clue,,31,Extras: Streets of New Capenna Commander
1,Punch Card Token,,32,Extras: Streets of New Capenna Commander
