Count,Name,Foil,Card Number,Edition
1,"Kitt Kanto, Mayhem Diva",foil,189,Streets of New Capenna Commander
1,"Kitt Kanto, Mayhem Diva",foil,4,Streets of New Capenna Commander
1,"Phabine, Boss's Confidant",foil,9,Streets of New Capenna Commander
1,Boss's Chauffeur,,13,Streets of New Capenna Commander
1,Grand Crescendo,,16,Streets of New Capenna Commander
1,Master of Ceremonies,,18,Streets of New Capenna Commander
1,Indulge // Excess,,46,Streets of New Capenna Commander
1,Life of the Party,,48,Streets of New Capenna Commander
1,Rose Room Treasurer,,51,Streets of New Capenna Commander
1,Seize the Spotlight,,52,Streets of New Capenna Commander
1,Crash the Party,,57,Streets of New Capenna Commander
1,Killer Service,,61,Streets of New Capenna Commander
1,Scepter of Celebration,,64,Streets of New Capenna Commander
1,Vivien's Stampede,,65,Streets of New Capenna Commander
1,"Bess, Soul Nourisher",,67,Streets of New Capenna Commander
1,Cabaretti Confluence,,69,Streets of New Capenna Commander
1,Prosperous Partnership,,78,Streets of New Capenna Commander
1,False Floor,,82,Streets of New Capenna Commander
1,Call the Coppercoats,,195,Streets of New Capenna Commander
1,Duelist's Heritage,,197,Streets of New Capenna Commander
1,Felidar Retreat,,199,Streets of New Capenna Commander
1,Fell the Mighty,,200,Streets of New Capenna Commander
1,Intangible Virtue,,204,Streets of New Capenna Commander
1,Martial Coup,,206,Streets of New Capenna Commander
1,Orzhov Advokist,,207,Streets of New Capenna Commander
1,Path to Exile,,208,Streets of New Capenna Commander
1,Agitator Ant,,263,Streets of New Capenna Commander
1,"Kazuul, Tyrant of the Cliffs",,270,Streets of New Capenna Commander
1,Magus of the Wheel,,271,Streets of New Capenna Commander
1,Outpost Siege,,272,Streets of New Capenna Commander
1,"Zurzoth, Chaos Rider",,278,Streets of New Capenna Commander
1,Arasta of the Endless Web,,279,Streets of New Capenna Commander
1,Awakening Zone,,281,Streets of New Capenna Commander
1,Beast Within,,282,Streets of New Capenna Commander
1,Beastmaster Ascension,,283,Streets of New Capenna Commander
1,Champion of Lambholt,,284,Streets of New Capenna Commander
1,Cultivate,,285,Streets of New Capenna Commander
1,Harmonize,,295,Streets of New Capenna Commander
1,Leafkin Druid,,299,Streets of New Capenna Commander
1,Sakura-Tribe Elder,,307,Streets of New Capenna Commander
1,Sandwurm Convergence,,308,Streets of New Capenna Commander
1,Scute Swarm,,310,Streets of New Capenna Commander
1,Shamanic Revelation,,311,Streets of New Capenna Commander
1,Sylvan Offering,,314,Streets of New Capenna Commander
1,Thunderfoot Baloth,,317,Streets of New Capenna Commander
1,Wood Elves,,321,Streets of New Capenna Commander
1,Artifact Mutation,,326,Streets of New Capenna Commander
1,Assemble the Legion,,327,Streets of New Capenna Commander
1,Aura Mutation,,328,Streets of New Capenna Commander
1,Boros Charm,,332,Streets of New Capenna Commander
1,Camaraderie,,334,Streets of New Capenna Commander
1,"Gahiji, Honored One",,340,Streets of New Capenna Commander
1,March of the Multitudes,,346,Streets of New Capenna Commander
1,"Selvala, Explorer Returned",,350,Streets of New Capenna Commander
1,Arcane Signet,,360,Streets of New Capenna Commander
1,Bloodthirsty Blade,,362,Streets of New Capenna Commander
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Fellwar Stone,,367,Streets of New Capenna Commander
1,Idol of Oblivion,,368,Streets of New Capenna Commander
1,Sol Ring,,379,Streets of New Capenna Commander
1,Ash Barrens,,386,Streets of New Capenna Commander
1,Canopy Vista,,389,Streets of New Capenna Commander
1,Castle Ardenvale,,391,Streets of New Capenna Commander
1,Castle Embereth,,392,Streets of New Capenna Commander
1,Cinder Glade,,394,Streets of New Capenna Commander
1,Command Tower,,395,Streets of New Capenna Commander
