Count,Name,Foil,Card Number,Edition
1,"Anhelo, the Painter",foil,186,Streets of New Capenna Commander
1,"Anhelo, the Painter",foil,1,Streets of New Capenna Commander
1,"Parnesse, the Subtle Brush",foil,8,Streets of New Capenna Commander
1,Extravagant Replication,,25,Streets of New Capenna Commander
1,Flawless Forgery,,26,Streets of New Capenna Commander
1,Sinister Concierge,,30,Streets of New Capenna Commander
1,Body Count,,34,Streets of New Capenna Commander
1,Dogged Detective,,35,Streets of New Capenna Commander
1,Make an Example,,37,Streets of New Capenna Commander
1,Waste Management,,40,Streets of New Capenna Commander
1,Xander's Pact,,43,Streets of New Capenna Commander
1,Audacious Swap,,44,Streets of New Capenna Commander
1,Determined Iteration,,45,Streets of New Capenna Commander
1,Spellbinding Soprano,,53,Streets of New Capenna Commander
1,Cryptic Pursuit,,70,Streets of New Capenna Commander
1,Maestros Confluence,,75,Streets of New Capenna Commander
1,"Syrix, Carrier of the Flame",,80,Streets of New Capenna Commander
1,Smuggler's Buggy,,84,Streets of New Capenna Commander
1,Clone Legion,,215,Streets of New Capenna Commander
1,Deep Analysis,,218,Streets of New Capenna Commander
1,Dig Through Time,,219,Streets of New Capenna Commander
1,Drawn from Dreams,,220,Streets of New Capenna Commander
1,Fact or Fiction,,221,Streets of New Capenna Commander
1,Frantic Search,,222,Streets of New Capenna Commander
1,Mystic Confluence,,227,Streets of New Capenna Commander
1,Ponder,,229,Streets of New Capenna Commander
1,Preordain,,230,Streets of New Capenna Commander
1,River's Rebuke,,231,Streets of New Capenna Commander
1,Talrand's Invocation,,234,Streets of New Capenna Commander
1,Zndrsplt's Judgment,,240,Streets of New Capenna Commander
1,Army of the Damned,,242,Streets of New Capenna Commander
1,Bloodsoaked Champion,,243,Streets of New Capenna Commander
1,Damnable Pact,,245,Streets of New Capenna Commander
1,Dread Summons,,249,Streets of New Capenna Commander
1,Feed the Swarm,,250,Streets of New Capenna Commander
1,Hex,,252,Streets of New Capenna Commander
1,Puppeteer Clique,,257,Streets of New Capenna Commander
1,Reign of the Pit,,258,Streets of New Capenna Commander
1,Sever the Bloodline,,259,Streets of New Capenna Commander
1,Skyclave Shade,,260,Streets of New Capenna Commander
1,Woe Strider,,262,Streets of New Capenna Commander
1,Chain Reaction,,265,Streets of New Capenna Commander
1,Double Vision,,267,Streets of New Capenna Commander
1,Rekindling Phoenix,,273,Streets of New Capenna Commander
1,Rite of the Raging Storm,,274,Streets of New Capenna Commander
1,"Squee, the Immortal",,275,Streets of New Capenna Commander
1,Bedevil,,331,Streets of New Capenna Commander
1,Call the Skybreaker,,333,Streets of New Capenna Commander
1,Goblin Electromancer,,341,Streets of New Capenna Commander
1,"Kess, Dissident Mage",,344,Streets of New Capenna Commander
1,Arcane Signet,,360,Streets of New Capenna Commander
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Dimir Signet,,365,Streets of New Capenna Commander
1,Fellwar Stone,,367,Streets of New Capenna Commander
1,Izzet Signet,,369,Streets of New Capenna Commander
1,Lightning Greaves,,371,Streets of New Capenna Commander
1,Mimic Vat,,372,Streets of New Capenna Commander
1,Rakdos Signet,,378,Streets of New Capenna Commander
1,Sol Ring,,379,Streets of New Capenna Commander
1,Twinning Staff,,383,Streets of New Capenna Commander
1,Wayfarer's Bauble,,384,Streets of New Capenna Commander
1,Ash Barrens,,386,Streets of New Capenna Commander
1,Cascade Bluffs,,390,Streets of New Capenna Commander
1,Choked Estuary,,393,Streets of New Capenna Commander
1,Command Tower,,395,Streets of New Capenna Commander
1,Crumbling Necropolis,,397,Streets of New Capenna Commander
1,Darkwater Catacombs,,398,Streets of New Capenna Commander
1,Exotic Orchard,,400,Streets of New Capenna Commander
1,Foreboding Ruins,,403,Streets of New Capenna Commander
1,Grixis Panorama,,407,Streets of New Capenna Commander
1,Myriad Landscape,,416,Streets of New Capenna Commander
1,Path of Ancestry,,419,Streets of New Capenna Commander
1,Shadowblood Ridge,,426,Streets of New Capenna Commander
1,Smoldering Marsh,,428,Streets of New Capenna Commander
1,Sunken Hollow,,431,Streets of New Capenna Commander
1,Temple of Epiphany,,432,Streets of New Capenna Commander
1,Thriving Bluff,,438,Streets of New Capenna Commander
1,Thriving Isle,,441,Streets of New Capenna Commander
1,Thriving Moor,,442,Streets of New Capenna Commander
1,A Little Chat,,47,Streets of New Capenna
1,"Cormela, Glamour Thief",,177,Streets of New Capenna
1,Maestros Charm,,199,Streets of New Capenna
1,Maestros Theater,,251,Streets of New Capenna
3,Island,,264,Streets of New Capenna
3,Island,,265,Streets of New Capenna
2,Swamp,,266,Streets of New Capenna
3,Swamp,,267,Streets of New Capenna
2,Mountain,,268,Streets of New Capenna
2,Mountain,,269,Streets of New Capenna
1,Island,,274,Streets of New Capenna
1,Swamp,,276,Streets of New Capenna
1,Mountain,,278,Streets of New Capenna
1,Goat // Zombie,,7,Extras: Streets of New Capenna Commander
2,Drake // Zombie,,8,Extras: Streets of New Capenna Commander
1,Lightning Rager // Rogue,,9,Extras: Streets of New Capenna Commander
2,Elemental // Rogue,,10,Extras: Streets of New Capenna Commander
1,Demon // Copy,,11,Extras: Streets of New Capenna Commander
1,Elemental // Copy,,12,Extras: Streets of New Capenna Commander
2,Manifest // Copy,,13,Extras: Streets of New Capenna Commander
1,Punch Card Token,,32,Extras: Streets of New Capenna Commander
