Count,Name,Foil,Card Number,Edition
1,"Kamiz, Obscura Oculus",foil,3,Streets of New Capenna Commander
1,"Tivit, Seller of Secrets",foil,10,Streets of New Capenna Commander
1,Aerial Extortionist,,11,Streets of New Capenna Commander
1,Jailbreak,,17,Streets of New Capenna Commander
1,Smuggler's Share,,21,Streets of New Capenna Commander
1,Cephalid Facetaker,,23,Streets of New Capenna Commander
1,Change of Plans,,24,Streets of New Capenna Commander
1,In Too Deep,,27,Streets of New Capenna Commander
1,Mask of the Schemer,,28,Streets of New Capenna Commander
1,Skyway Robber,,31,Streets of New Capenna Commander
1,Lethal Scheme,,36,Streets of New Capenna Commander
1,Misfortune Teller,,38,Streets of New Capenna Commander
1,Writ of Return,,42,Streets of New Capenna Commander
1,Life Insurance,,74,Streets of New Capenna Commander
1,Obscura Confluence,,76,Streets of New Capenna Commander
1,"Oskar, Rubbish Reclaimer",,77,Streets of New Capenna Commander
1,Currency Converter,,81,Streets of New Capenna Commander
1,Archon of Coronation,,192,Streets of New Capenna Commander
1,Austere Command,,193,Streets of New Capenna Commander
1,Dusk // Dawn,,198,Streets of New Capenna Commander
1,Sun Titan,,210,Streets of New Capenna Commander
1,Swords to Plowshares,,211,Streets of New Capenna Commander
1,Champion of Wits,,213,Streets of New Capenna Commander
1,Chasm Skulker,,214,Streets of New Capenna Commander
1,Commit // Memory,,216,Streets of New Capenna Commander
1,Daring Saboteur,,217,Streets of New Capenna Commander
1,Ghostly Pilferer,,223,Streets of New Capenna Commander
1,Identity Thief,,224,Streets of New Capenna Commander
1,Looter il-Kor,,225,Streets of New Capenna Commander
1,Nadir Kraken,,228,Streets of New Capenna Commander
1,Stolen Identity,,233,Streets of New Capenna Commander
1,Treasure Cruise,,237,Streets of New Capenna Commander
1,Whirler Rogue,,238,Streets of New Capenna Commander
1,Custodi Lich,,244,Streets of New Capenna Commander
1,"Drana, Liberator of Malakir",,248,Streets of New Capenna Commander
1,Graveblade Marauder,,251,Streets of New Capenna Commander
1,Nightmare Unmaking,,253,Streets of New Capenna Commander
1,Profane Command,,256,Streets of New Capenna Commander
1,"Alela, Artful Provocateur",,325,Streets of New Capenna Commander
1,Daxos of Meletis,,335,Streets of New Capenna Commander
1,Dragonlord Ojutai,,337,Streets of New Capenna Commander
1,Fallen Shinobi,,338,Streets of New Capenna Commander
1,Inkfathom Witch,,342,Streets of New Capenna Commander
1,Mask of Riddles,,347,Streets of New Capenna Commander
1,Shadowmage Infiltrator,,351,Streets of New Capenna Commander
1,Silent-Blade Oni,,352,Streets of New Capenna Commander
1,Thief of Sanity,,354,Streets of New Capenna Commander
1,Utter End,,356,Streets of New Capenna Commander
1,"Wrexial, the Risen Deep",,359,Streets of New Capenna Commander
1,Arcane Signet,,360,Streets of New Capenna Commander
1,Azorius Signet,,361,Streets of New Capenna Commander
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Dimir Signet,,365,Streets of New Capenna Commander
1,Fellwar Stone,,367,Streets of New Capenna Commander
1,Orzhov Signet,,375,Streets of New Capenna Commander
1,Quietus Spike,,377,Streets of New Capenna Commander
1,Sol Ring,,379,Streets of New Capenna Commander
1,Strionic Resonator,,381,Streets of New Capenna Commander
1,Swiftfoot Boots,,382,Streets of New Capenna Commander
1,Wayfarer's Bauble,,384,Streets of New Capenna Commander
1,Arcane Sanctum,,385,Streets of New Capenna Commander
1,Ash Barrens,,386,Streets of New Capenna Commander
1,Choked Estuary,,393,Streets of New Capenna Commander
1,Command Tower,,395,Streets of New Capenna Commander
1,Creeping Tar Pit,,396,Streets of New Capenna Commander
1,Darkwater Catacombs,,398,Streets of New Capenna Commander
1,Esper Panorama,,399,Streets of New Capenna Commander
1,Exotic Orchard,,400,Streets of New Capenna Commander
1,Fetid Heath,,401,Streets of New Capenna Commander
1,Myriad Landscape,,416,Streets of New Capenna Commander
1,Path of Ancestry,,419,Streets of New Capenna Commander
1,Port Town,,420,Streets of New Capenna Commander
1,Prairie Stream,,421,Streets of New Capenna Commander
1,Rogue's Passage,,422,Streets of New Capenna Commander
1,Skycloud Expanse,,427,Streets of New Capenna Commander
1,Sunken Hollow,,431,Streets of New Capenna Commander
1,Temple of Silence,,435,Streets of New Capenna Commander
1,Thriving Heath,,440,Streets of New Capenna Commander
1,Thriving Isle,,441,Streets of New Capenna Commander
1,Thriving Moor,,442,Streets of New Capenna Commander
1,An Offer You Can't Refuse,,51,Streets of New Capenna
1,Obscura Charm,,208,Streets of New Capenna
1,Obscura Storefront,,252,Streets of New Capenna
2,Plains,,262,Streets of New Capenna
2,Plains,,263,Streets of New Capenna
2,Island,,264,Streets of New Capenna
3,Island,,265,Streets of New Capenna
2,Swamp,,266,Streets of New Capenna
3,Swamp,,267,Streets of New Capenna
1,Plains,,272,Streets of New Capenna
1,Island,,275,Streets of New Capenna
1,Swamp,,276,Streets of New Capenna

1,Tentacle // Champion of Wits,,1,Extras: Streets of New Capenna Commander
2,Tentacle // Clue,,2,Extras: Streets of New Capenna Commander
2,Faerie // Rogue,,3,Extras: Streets of New Capenna Commander
1,Squid // The Monarch,,4,Extras: Streets of New Capenna Commander
2,Squid // Treasure,,5,Extras: Streets of New Capenna Commander
2,Thopter // Treasure,,6,Extras: Streets of New Capenna Commander
1,Punch Card Token,,32,Extras: Streets of New Capenna Commander
