Count,Name,Foil,Card Number,Edition
1,"Henzie ""Toolbox"" Torre",foil,187,Streets of New Capenna Commander
1,"Henzie ""Toolbox"" Torre",foil,2,Streets of New Capenna Commander
1,The Beamtown Bullies,foil,6,Streets of New Capenna Commander
1,Bellowing Mauler,,33,Streets of New Capenna Commander
1,Protection Racket,,39,Streets of New Capenna Commander
1,Wave of Rats,,41,Streets of New Capenna Commander
1,Industrial Advancement,,47,Streets of New Capenna Commander
1,Mezzio Mugger,,49,Streets of New Capenna Commander
1,Rain of Riches,,50,Streets of New Capenna Commander
1,Turf War,,54,Streets of New Capenna Commander
1,Caldaia Guardian,,56,Streets of New Capenna Commander
1,Dodgy Jalopy,,58,Streets of New Capenna Commander
1,First Responder,,60,Streets of New Capenna Commander
1,Next of Kin,,62,Streets of New Capenna Commander
1,Grime Gorger,,72,Streets of New Capenna Commander
1,"Jolene, the Plunder Queen",,73,Streets of New Capenna Commander
1,Riveteers Confluence,,79,Streets of New Capenna Commander
1,Weathered Sentinels,,85,Streets of New Capenna Commander
1,Artisan of Kozilek,,191,Streets of New Capenna Commander
1,Aether Snap,,241,Streets of New Capenna Commander
1,Deathbringer Regent,,246,Streets of New Capenna Commander
1,Disciple of Bolas,,247,Streets of New Capenna Commander
1,Noxious Gearhulk,,254,Streets of New Capenna Commander
1,Painful Truths,,255,Streets of New Capenna Commander
1,Victimize,,261,Streets of New Capenna Commander
1,Blasphemous Act,,264,Streets of New Capenna Commander
1,Chaos Warp,,266,Streets of New Capenna Commander
1,"Etali, Primal Storm",,268,Streets of New Capenna Commander
1,Inferno Titan,,269,Streets of New Capenna Commander
1,Stalking Vengeance,,276,Streets of New Capenna Commander
1,Warstorm Surge,,277,Streets of New Capenna Commander
1,Avenger of Zendikar,,280,Streets of New Capenna Commander
1,Evolutionary Leap,,288,Streets of New Capenna Commander
1,Explore,,289,Streets of New Capenna Commander
1,Farseek,,290,Streets of New Capenna Commander
1,Garruk's Uprising,,292,Streets of New Capenna Commander
1,Giant Adephage,,293,Streets of New Capenna Commander
1,Greenwarden of Murasa,,294,Streets of New Capenna Commander
1,Indrik Stomphowler,,297,Streets of New Capenna Commander
1,Kodama's Reach,,298,Streets of New Capenna Commander
1,Life's Legacy,,300,Streets of New Capenna Commander
1,Migration Path,,301,Streets of New Capenna Commander
1,Mitotic Slime,,302,Streets of New Capenna Commander
1,Overgrown Battlement,,303,Streets of New Capenna Commander
1,Rampant Growth,,304,Streets of New Capenna Commander
1,Temur Sabertooth,,315,Streets of New Capenna Commander
1,Thragtusk,,316,Streets of New Capenna Commander
1,Treeshaker Chimera,,318,Streets of New Capenna Commander
1,Woodfall Primus,,322,Streets of New Capenna Commander
1,World Shaper,,323,Streets of New Capenna Commander
1,Deathreap Ritual,,336,Streets of New Capenna Commander
1,Kresh the Bloodbraided,,345,Streets of New Capenna Commander
1,Terminate,,353,Streets of New Capenna Commander
1,Windgrace's Judgment,,358,Streets of New Capenna Commander
1,Arcane Signet,,360,Streets of New Capenna Commander
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Fellwar Stone,,367,Streets of New Capenna Commander
1,Lifecrafter's Bestiary,,370,Streets of New Capenna Commander
1,Sol Ring,,379,Streets of New Capenna Commander
1,Solemn Simulacrum,,380,Streets of New Capenna Commander
1,Ash Barrens,,386,Streets of New Capenna Commander
1,Blighted Woodland,,388,Streets of New Capenna Commander
1,Cinder Glade,,394,Streets of New Capenna Commander
1,Command Tower,,395,Streets of New Capenna Commander
1,Exotic Orchard,,400,Streets of New Capenna Commander
1,Foreboding Ruins,,403,Streets of New Capenna Commander
1,Game Trail,,405,Streets of New Capenna Commander
1,Jund Panorama,,408,Streets of New Capenna Commander
1,Kessig Wolf Run,,411,Streets of New Capenna Commander
1,Mossfire Valley,,414,Streets of New Capenna Commander
1,Mosswort Bridge,,415,Streets of New Capenna Commander
1,Myriad Landscape,,416,Streets of New Capenna Commander
1,Path of Ancestry,,419,Streets of New Capenna Commander
1,Savage Lands,,424,Streets of New Capenna Commander
1,Shadowblood Ridge,,426,Streets of New Capenna Commander
1,Smoldering Marsh,,428,Streets of New Capenna Commander
1,Spinerock Knoll,,429,Streets of New Capenna Commander
1,Temple of Malady,,433,Streets of New Capenna Commander
1,Temple of the False God,,436,Streets of New Capenna Commander
1,Thriving Bluff,,438,Streets of New Capenna Commander
1,Thriving Grove,,439,Streets of New Capenna Commander
1,Thriving Moor,,442,Streets of New Capenna Commander
1,Twilight Mire,,443,Streets of New Capenna Commander
1,Glittering Stockpile,,107,Streets of New Capenna
1,Riveteers Charm,,217,Streets of New Capenna
1,Riveteers Overlook,,255,Streets of New Capenna
2,Swamp,,266,Streets of New Capenna
1,Swamp,,267,Streets of New Capenna
2,Mountain,,268,Streets of New Capenna
2,Mountain,,269,Streets of New Capenna
2,Forest,,270,Streets of New Capenna
3,Forest,,271,Streets of New Capenna
1,Swamp,,277,Streets of New Capenna
1,Mountain,,278,Streets of New Capenna
1,Forest,,280,Streets of New Capenna
2,Ooze // Treasure,,14,Extras: Streets of New Capenna Commander
4,Ooze // Treasure,,14,Extras: Streets of New Capenna Commander
2,Citizen // Plant,,16,Extras: Streets of New Capenna Commander
1,Beast // Plant,,17,Extras: Streets of New Capenna Commander
1,Plant // Treasure,,18,Extras: Streets of New Capenna Commander
1,Punch Card Token,,32,Extras: Streets of New Capenna Commander
