Count,Name,Foil,Card Number,Edition,Language
1,"Kotori, Pilot Prodigy",foil,2,Kamigawa: Neon Dynasty Commander,English
1,"Shorikai, Genesis Engine",foil,4,Kamigawa: Neon Dynasty Commander,English
1,Aerial Surveyor,,5,Kamigawa: Neon Dynasty Commander,English
1,Drumbellower,,6,Kamigawa: Neon Dynasty Commander,English
1,Ironsoul Enforcer,,7,Kamigawa: Neon Dynasty Commander,English
1,Organic Extinction,,8,Kamigawa: Neon Dynasty Commander,English
1,Release to Memory,,9,Kamigawa: Neon Dynasty Commander,English
1,Swift Reconfiguration,,10,Kamigawa: Neon Dynasty Commander,English
1,Access Denied,,11,Kamigawa: Neon Dynasty Commander,English
1,Cyberdrive Awakener,,12,Kamigawa: Neon Dynasty Commander,English
1,Imposter Mech,,13,Kamigawa: Neon Dynasty Commander,English
1,Kappa Cannoneer,,14,Kamigawa: Neon Dynasty Commander,English
1,"Katsumasa, the Animator",,15,Kamigawa: Neon Dynasty Commander,English
1,Research Thief,,16,Kamigawa: Neon Dynasty Commander,English
1,Universal Surveillance,,17,Kamigawa: Neon Dynasty Commander,English
1,Aeronaut Admiral,,79,Kamigawa: Neon Dynasty Commander,English
1,Armed and Armored,,80,Kamigawa: Neon Dynasty Commander,English
1,Cataclysmic Gearhulk,,81,Kamigawa: Neon Dynasty Commander,English
1,Crush Contraband,,82,Kamigawa: Neon Dynasty Commander,English
1,Dispatch,,83,Kamigawa: Neon Dynasty Commander,English
1,Generous Gift,,84,Kamigawa: Neon Dynasty Commander,English
1,Indomitable Archangel,,85,Kamigawa: Neon Dynasty Commander,English
1,Myrsmith,,86,Kamigawa: Neon Dynasty Commander,English
1,Parhelion II,,87,Kamigawa: Neon Dynasty Commander,English
1,"Sram, Senior Edificer",,88,Kamigawa: Neon Dynasty Commander,English
1,Swords to Plowshares,,89,Kamigawa: Neon Dynasty Commander,English
1,"Teshar, Ancestor's Apostle",,90,Kamigawa: Neon Dynasty Commander,English
1,"Emry, Lurker of the Loch",,91,Kamigawa: Neon Dynasty Commander,English
1,Etherium Sculptor,,92,Kamigawa: Neon Dynasty Commander,English
1,"Jace, Architect of Thought",,93,Kamigawa: Neon Dynasty Commander,English
1,Master of Etherium,,94,Kamigawa: Neon Dynasty Commander,English
1,Reality Shift,,95,Kamigawa: Neon Dynasty Commander,English
1,Riddlesmith,,96,Kamigawa: Neon Dynasty Commander,English
1,"Sai, Master Thopterist",,97,Kamigawa: Neon Dynasty Commander,English
1,Thopter Spy Network,,98,Kamigawa: Neon Dynasty Commander,English
1,Thoughtcast,,99,Kamigawa: Neon Dynasty Commander,English
1,Vedalken Engineer,,100,Kamigawa: Neon Dynasty Commander,English
1,Whirler Rogue,,101,Kamigawa: Neon Dynasty Commander,English
1,Arcanist's Owl,,135,Kamigawa: Neon Dynasty Commander,English
1,Dance of the Manse,,136,Kamigawa: Neon Dynasty Commander,English
1,"Hanna, Ship's Navigator",,139,Kamigawa: Neon Dynasty Commander,English
1,"Raff Capashen, Ship's Mage",,141,Kamigawa: Neon Dynasty Commander,English
1,Arcane Signet,,144,Kamigawa: Neon Dynasty Commander,English
1,Azorius Signet,,145,Kamigawa: Neon Dynasty Commander,English
1,Colossal Plow,,148,Kamigawa: Neon Dynasty Commander,English
1,Cultivator's Caravan,,149,Kamigawa: Neon Dynasty Commander,English
1,Fellwar Stone,,150,Kamigawa: Neon Dynasty Commander,English
1,Foundry Inspector,,152,Kamigawa: Neon Dynasty Commander,English
1,Gold Myr,,153,Kamigawa: Neon Dynasty Commander,English
1,Mirage Mirror,,154,Kamigawa: Neon Dynasty Commander,English
1,Peacewalker Colossus,,155,Kamigawa: Neon Dynasty Commander,English
1,Raiders' Karve,,156,Kamigawa: Neon Dynasty Commander,English
1,Shimmer Myr,,157,Kamigawa: Neon Dynasty Commander,English
1,Silver Myr,,158,Kamigawa: Neon Dynasty Commander,English
1,"Skysovereign, Consul Flagship",,159,Kamigawa: Neon Dynasty Commander,English
1,Smuggler's Copter,,160,Kamigawa: Neon Dynasty Commander,English
1,Sol Ring,,161,Kamigawa: Neon Dynasty Commander,English
1,Solemn Simulacrum,,162,Kamigawa: Neon Dynasty Commander,English
1,Weatherlight,,165,Kamigawa: Neon Dynasty Commander,English
1,Command Tower,,167,Kamigawa: Neon Dynasty Commander,English
1,Exotic Orchard,,168,Kamigawa: Neon Dynasty Commander,English
1,Port Town,,174,Kamigawa: Neon Dynasty Commander,English
1,Prairie Stream,,175,Kamigawa: Neon Dynasty Commander,English
1,Skycloud Expanse,,177,Kamigawa: Neon Dynasty Commander,English
1,Spire of Industry,,178,Kamigawa: Neon Dynasty Commander,English
1,Temple of Enlightenment,,180,Kamigawa: Neon Dynasty Commander,English
1,Imperial Recovery Unit,,18,Kamigawa: Neon Dynasty,English
1,Mobilizer Mech,,65,Kamigawa: Neon Dynasty,English
1,Prodigy's Prototype,,231,Kamigawa: Neon Dynasty,English
1,Surgehacker Mech,,260,Kamigawa: Neon Dynasty,English
8,Plains,,283,Kamigawa: Neon Dynasty,English
7,Plains,,284,Kamigawa: Neon Dynasty,English
8,Island,,285,Kamigawa: Neon Dynasty,English
7,Island,,286,Kamigawa: Neon Dynasty,English
2,Angel // Elephant,,1,Extras: Kamigawa: Neon Dynasty Commander,English
1,Myr // Pilot,,2,Extras: Kamigawa: Neon Dynasty Commander,English
1,Spirit // Myr,,3,Extras: Kamigawa: Neon Dynasty Commander,English
6,Spirit // Thopter,,4,Extras: Kamigawa: Neon Dynasty Commander,English
