Count,Name,Foil,Card Number,Edition
1,"Strefan, Maurer Progenitor",foil,2,Crimson Vow Display Commanders
1,"Strefan, Maurer Progenitor",foil,2,Innistrad: Crimson Vow Commander
1,"Timothar, Baron of Bats",foil,4,Innistrad: Crimson Vow Commander
1,Crossway Troublemakers,,17,Innistrad: Crimson Vow Commander
1,Glass-Cast Heart,,18,Innistrad: Crimson Vow Commander
1,"Kamber, the Plunderer",,19,Innistrad: Crimson Vow Commander
1,Olivia's Wrath,,20,Innistrad: Crimson Vow Commander
1,Predators' Hour,,21,Innistrad: Crimson Vow Commander
1,Shadowgrange Archfiend,,22,Innistrad: Crimson Vow Commander
1,Arterial Alchemy,,23,Innistrad: Crimson Vow Commander
1,Imposing Grandeur,,24,Innistrad: Crimson Vow Commander
1,"Laurine, the Diversion",,25,Innistrad: Crimson Vow Commander
1,Markov Enforcer,,26,Innistrad: Crimson Vow Commander
1,Midnight Arsonist,,27,Innistrad: Crimson Vow Commander
1,Scion of Opulence,,28,Innistrad: Crimson Vow Commander
1,Sinister Waltz,,30,Innistrad: Crimson Vow Commander
1,Ancient Craving,,117,Innistrad: Crimson Vow Commander
1,"Anowon, the Ruin Sage",,118,Innistrad: Crimson Vow Commander
1,Blood Artist,,119,Innistrad: Crimson Vow Commander
1,Bloodline Necromancer,,120,Innistrad: Crimson Vow Commander
1,Bloodlord of Vaasgoth,,121,Innistrad: Crimson Vow Commander
1,Bloodtracker,,122,Innistrad: Crimson Vow Commander
1,Butcher of Malakir,,123,Innistrad: Crimson Vow Commander
1,Champion of Dusk,,124,Innistrad: Crimson Vow Commander
1,Cordial Vampire,,125,Innistrad: Crimson Vow Commander
1,Damnable Pact,,126,Innistrad: Crimson Vow Commander
1,Dark Impostor,,127,Innistrad: Crimson Vow Commander
1,Falkenrath Noble,,128,Innistrad: Crimson Vow Commander
1,Feed the Swarm,,129,Innistrad: Crimson Vow Commander
1,Indulgent Aristocrat,,130,Innistrad: Crimson Vow Commander
1,Malakir Bloodwitch,,131,Innistrad: Crimson Vow Commander
1,Necropolis Regent,,132,Innistrad: Crimson Vow Commander
1,Night's Whisper,,133,Innistrad: Crimson Vow Commander
1,Nirkana Revenant,,134,Innistrad: Crimson Vow Commander
1,Patron of the Vein,,135,Innistrad: Crimson Vow Commander
1,Sanctum Seeker,,136,Innistrad: Crimson Vow Commander
1,Stromkirk Condemned,,137,Innistrad: Crimson Vow Commander
1,Underworld Connections,,138,Innistrad: Crimson Vow Commander
1,Urge to Feed,,139,Innistrad: Crimson Vow Commander
1,Vampire Nighthawk,,140,Innistrad: Crimson Vow Commander
1,Anje's Ravager,,141,Innistrad: Crimson Vow Commander
1,Avacyn's Judgment,,142,Innistrad: Crimson Vow Commander
1,Blasphemous Act,,143,Innistrad: Crimson Vow Commander
1,Bloodsworn Steward,,144,Innistrad: Crimson Vow Commander
1,Crimson Honor Guard,,145,Innistrad: Crimson Vow Commander
1,Falkenrath Gorger,,146,Innistrad: Crimson Vow Commander
1,Mob Rule,,147,Innistrad: Crimson Vow Commander
1,Molten Echoes,,148,Innistrad: Crimson Vow Commander
1,Rakish Heir,,149,Innistrad: Crimson Vow Commander
1,Stensia Masquerade,,150,Innistrad: Crimson Vow Commander
1,Stromkirk Occultist,,151,Innistrad: Crimson Vow Commander
1,Vandalblast,,152,Innistrad: Crimson Vow Commander
1,Rakdos Charm,,156,Innistrad: Crimson Vow Commander
1,Stromkirk Captain,,157,Innistrad: Crimson Vow Commander
1,Vampiric Dragon,,158,Innistrad: Crimson Vow Commander
1,Arcane Signet,,159,Innistrad: Crimson Vow Commander
1,Charcoal Diamond,,162,Innistrad: Crimson Vow Commander
1,Commander's Sphere,,163,Innistrad: Crimson Vow Commander
1,Fire Diamond,,164,Innistrad: Crimson Vow Commander
1,Rakdos Signet,,166,Innistrad: Crimson Vow Commander
1,Sol Ring,,168,Innistrad: Crimson Vow Commander
1,Swiftfoot Boots,,169,Innistrad: Crimson Vow Commander
1,Unstable Obelisk,,170,Innistrad: Crimson Vow Commander
1,Command Tower,,172,Innistrad: Crimson Vow Commander
1,Exotic Orchard,,173,Innistrad: Crimson Vow Commander
1,Foreboding Ruins,,174,Innistrad: Crimson Vow Commander
1,Myriad Landscape,,176,Innistrad: Crimson Vow Commander
1,Path of Ancestry,,177,Innistrad: Crimson Vow Commander
1,Rakdos Carnarium,,180,Innistrad: Crimson Vow Commander
1,Shadowblood Ridge,,181,Innistrad: Crimson Vow Commander
1,Smoldering Marsh,,183,Innistrad: Crimson Vow Commander
1,Tainted Peak,,184,Innistrad: Crimson Vow Commander
1,Temple of Malice,,186,Innistrad: Crimson Vow Commander
1,Temple of the False God,,187,Innistrad: Crimson Vow Commander
1,Unclaimed Territory,,188,Innistrad: Crimson Vow Commander
1,Bloodtithe Harvester,,232,Innistrad: Crimson Vow
14,Swamp,,400,Innistrad: Crimson Vow
11,Mountain,,401,Innistrad: Crimson Vow
4,Bat // Blood,,4,Extras: Innistrad: Crimson Vow Commander
3,Vampire // Blood,,64,Extras: Innistrad: Crimson Vow
3,Treasure // Blood,,69,Extras: Innistrad: Crimson Vow
