Count,Name,Foil,Card Number,Edition
1,Mind Flayer,foil,63,Adventures in the Forgotten Realms
3,Red Dragon,,160,Adventures in the Forgotten Realms
4,Evolving Wilds,,256,Adventures in the Forgotten Realms
1,Archmage Emeritus,,37,Strixhaven: School of Mages
4,Frost Trickster,,43,Strixhaven: School of Mages
2,Vortex Runner,,60,Strixhaven: School of Mages
2,Wormhole Serpent,,62,Strixhaven: School of Mages
1,Cyclone Summoner,foil,52,Kaldheim
1,Arni Brokenbrow,,120,Kaldheim
4,Axgard Cavalry,,121,Kaldheim
1,Calamity Bearer,,125,Kaldheim
4,Run Amok,,147,Kaldheim
2,Field Research,,58,Zendikar Rising
4,Teeterpeak Ambusher,,169,Zendikar Rising
3,Thundering Rebuke,,170,Zendikar Rising
4,Island,,263,Core Set 2021
4,Island,,264,Core Set 2021
3,Island,,265,Core Set 2021
4,Mountain,,269,Core Set 2021
4,Mountain,,270,Core Set 2021
4,Mountain,,271,Core Set 2021

1,Asmodeus the Archfiend,,88,Adventures in the Forgotten Realms
2,Black Dragon,,90,Adventures in the Forgotten Realms
3,Vampire Spawn,,123,Adventures in the Forgotten Realms
4,Evolving Wilds,,256,Adventures in the Forgotten Realms
2,Specter of the Fens,,87,Strixhaven: School of Mages
1,Dragonsguard Elite,foil,127,Strixhaven: School of Mages
3,Scurrid Colony,,142,Strixhaven: School of Mages
2,Karfell Kennel-Master,,101,Kaldheim
1,Cleaving Reaper,,376,Kaldheim
2,Oblivion's Hunger,,119,Zendikar Rising
1,Cragplate Baloth,,183,Zendikar Rising
4,Dauntless Survivor,,184,Zendikar Rising
4,Might of Murasa,,194,Zendikar Rising
3,Murasa Brute,,195,Zendikar Rising
1,Oran-Rief Ooze,foil,198,Zendikar Rising
3,Rabid Bite,,199,Zendikar Rising
4,Swamp,,266,Core Set 2021
4,Swamp,,267,Core Set 2021
3,Swamp,,268,Core Set 2021
4,Forest,,272,Core Set 2021
4,Forest,,273,Core Set 2021
4,Forest,,274,Core Set 2021
