Count,Name,Foil,Card Number,Edition
3,High-Rise Sawjack,,150,Streets of New Capenna
1,Topiary Stomper,,160,Streets of New Capenna
4,Mountain,,268,Streets of New Capenna
3,Forest,,271,Streets of New Capenna
1,Thundering Raiju,foil,166,Kamigawa: Neon Dynasty
4,Rugged Highlands,,273,Kamigawa: Neon Dynasty
4,Mountain,,289,Kamigawa: Neon Dynasty
4,Forest,,291,Kamigawa: Neon Dynasty
3,Abrade,,139,Innistrad: Crimson Vow
1,Creepy Puppeteer,,151,Innistrad: Crimson Vow
1,Ascendant Packleader,,186,Innistrad: Crimson Vow
2,Flourishing Hunter,,199,Innistrad: Crimson Vow
1,Glorious Sunrise,,200,Innistrad: Crimson Vow
3,Spore Crawler,,222,Innistrad: Crimson Vow
3,Witch's Web,,227,Innistrad: Crimson Vow
4,Mountain,,401,Innistrad: Crimson Vow
2,Burn the Accursed,,132,Innistrad: Midnight Hunt
3,Lambholt Harrier,,145,Innistrad: Midnight Hunt
3,Mounted Dreadknight,,150,Innistrad: Midnight Hunt
2,Voldaren Stinger,,167,Innistrad: Midnight Hunt
4,Timberland Guide,,202,Innistrad: Midnight Hunt
4,Forest,,384,Innistrad: Midnight Hunt
