Count,Name,Foil,Card Number,Edition
1,Welcoming Vampire,foil,46,Innistrad: Crimson Vow
3,Backup Agent,,2,Streets of New Capenna
1,Extraction Specialist,,12,Streets of New Capenna
3,Inspiring Overseer,,18,Streets of New Capenna
2,Kill Shot,,19,Streets of New Capenna
3,Seven-Tail Mentor,,36,Kamigawa: Neon Dynasty
2,Brute Suit,,241,Kamigawa: Neon Dynasty
4,Tranquil Cove,,280,Kamigawa: Neon Dynasty
2,Nebelgast Beguiler,,25,Innistrad: Crimson Vow
2,Unholy Officiant,,41,Innistrad: Crimson Vow
1,Consuming Tide,,53,Innistrad: Crimson Vow
1,Dreamshackle Geist,,58,Innistrad: Crimson Vow
1,Hullbreaker Horror,,63,Innistrad: Crimson Vow
3,Serpentine Ambush,,77,Innistrad: Crimson Vow
4,Wretched Throng,,91,Innistrad: Crimson Vow
2,Fading Hope,,51,Innistrad: Midnight Hunt
2,Stormrider Spirit,,79,Innistrad: Midnight Hunt
3,Island,,264,Streets of New Capenna
4,Plains,,283,Kamigawa: Neon Dynasty
4,Island,,285,Kamigawa: Neon Dynasty
4,Plains,,398,Innistrad: Crimson Vow
4,Island,,399,Innistrad: Crimson Vow
4,Plains,,380,Innistrad: Midnight Hunt
