Count,Name,Foil,Card Number,Edition
2,Balduvian Rage,,76,Coldsnap
2,Earthen Goo,,80,Coldsnap
1,Stalking Yeti,,98,Coldsnap
3,Aurochs Herd,,103,Coldsnap
2,Boreal Druid,,105,Coldsnap
4,Bull Aurochs,,107,Coldsnap
2,Frostweb Spider,,109,Coldsnap
1,Hibernation's End,,110,Coldsnap
1,Resize,,117,Coldsnap
2,Rimehorn Aurochs,,118,Coldsnap
1,Shape of the Wiitigo,,120,Coldsnap
2,Highland Weald,,147,Coldsnap
1,Gorilla Shaman,,33,Coldsnap Theme Decks
2,Incinerate,,34,Coldsnap Theme Decks
1,Orcish Lumberjack,,36,Coldsnap Theme Decks
3,Aurochs,,37,Coldsnap Theme Decks
1,Bounty of the Hunt,,38,Coldsnap Theme Decks
1,Deadly Insect,,39,Coldsnap Theme Decks
2,Tinder Wall,,40,Coldsnap Theme Decks
2,Woolly Mammoths,,41,Coldsnap Theme Decks
1,Giant Trap Door Spider,,42,Coldsnap Theme Decks
1,Whalebone Glider,,47,Coldsnap Theme Decks
8,Snow-Covered Mountain,,154,Coldsnap
14,Snow-Covered Forest,,155,Coldsnap
