Count,Name,Foil,Card Number,Edition
2,Disciple of Tevesh Szat,,55,Coldsnap
3,Grim Harvest,,58,Coldsnap
2,Gristle Grinner,,59,Coldsnap
3,Gutless Ghoul,,60,Coldsnap
2,Krovikan Rot,,63,Coldsnap
1,Void Maw,,74,Coldsnap
2,Orcish Bloodpainter,,94,Coldsnap
1,Deepfire Elemental,,127,Coldsnap
1,"Sek'Kuar, Deathkeeper",,131,Coldsnap
1,Coldsteel Heart,,136,Coldsnap
1,Ashen Ghoul,,20,Coldsnap Theme Decks
2,Balduvian Dead,,21,Coldsnap Theme Decks
2,Casting of Bones,,22,Coldsnap Theme Decks
2,Dark Banishing,,23,Coldsnap Theme Decks
1,Dark Ritual,,24,Coldsnap Theme Decks
2,Insidious Bookworms,,27,Coldsnap Theme Decks
1,Kjeldoran Dead,,28,Coldsnap Theme Decks
1,Soul Burn,,31,Coldsnap Theme Decks
2,Death Spark,,32,Coldsnap Theme Decks
1,Orcish Healer,,35,Coldsnap Theme Decks
2,Barbed Sextant,,45,Coldsnap Theme Decks
1,Skull Catapult,,46,Coldsnap Theme Decks
4,Swamp,,54,Coldsnap Theme Decks
4,Swamp,,55,Coldsnap Theme Decks
4,Swamp,,56,Coldsnap Theme Decks
3,Mountain,,57,Coldsnap Theme Decks
3,Mountain,,58,Coldsnap Theme Decks
3,Mountain,,59,Coldsnap Theme Decks
1,Forest,,60,Coldsnap Theme Decks
1,Forest,,61,Coldsnap Theme Decks
1,Forest,,62,Coldsnap Theme Decks
