Count,Name,Foil,Card Number,Edition
3,Beacon Hawk,,3,Dissension
2,Mistral Charger,,13,Dissension
1,Paladin of Prahv,,14,Dissension
3,Soulsworn Jury,,17,Dissension
1,Steeling Stance,,18,Dissension
2,Stoic Ephemera,,19,Dissension
1,Wakestone Gargoyle,,21,Dissension
2,Ocular Halo,,28,Dissension
2,Azorius First-Wing,,105,Dissension
1,Isperia the Inscrutable,,114,Dissension
1,Palliation Accord,,122,Dissension
2,Plumes of Peace,,124,Dissension
2,Sky Hussar,,131,Dissension
1,Azorius Guildmage,,141,Dissension
2,Minister of Impediments,,144,Dissension
2,Azorius Chancery,,170,Dissension
1,"Prahv, Spires of Order",,177,Dissension
1,Sinstriker's Will,,16,Guildpact
1,To Arms!,,20,Guildpact
2,Benevolent Ancestor,,3,Ravnica: City of Guilds
1,Faith's Fetters,,16,Ravnica: City of Guilds
1,Halcyon Glaze,,54,Ravnica: City of Guilds
3,Tidewater Minion,,71,Ravnica: City of Guilds
1,Zephyr Spirit,,76,Ravnica: City of Guilds
3,Plains,,287,Ravnica: City of Guilds
3,Plains,,288,Ravnica: City of Guilds
3,Plains,,289,Ravnica: City of Guilds
3,Plains,,290,Ravnica: City of Guilds
3,Island,,291,Ravnica: City of Guilds
2,Island,,292,Ravnica: City of Guilds
2,Island,,293,Ravnica: City of Guilds
2,Island,,294,Ravnica: City of Guilds
