Count,Name,Foil,Card Number,Edition
2,Demon's Jester,,42,Dissension
2,Drekavac,,43,Dissension
1,Nihilistic Glee,,50,Dissension
2,Ragamuffyn,,51,Dissension
1,Slaughterhouse Bouncer,,54,Dissension
2,Slithering Shade,,55,Dissension
2,Cackling Flames,,59,Dissension
2,Ignorant Bliss,,64,Dissension
3,Seal of Fire,,71,Dissension
2,Taste for Mayhem,,75,Dissension
3,Gobhobbler Rats,,111,Dissension
1,"Lyzolda, the Blood Witch",,117,Dissension
1,Rakdos Ickspitter,,128,Dissension
1,Twinstrike,,134,Dissension
1,Wrecking Ball,,139,Dissension
1,Rakdos Guildmage,,145,Dissension
2,Rakdos Signet,,165,Dissension
1,"Rix Maadi, Dungeon Palace",,179,Dissension
1,Douse in Gloom,,49,Guildpact
2,Scorched Rusalka,,74,Guildpact
2,Sadistic Augermage,,103,Ravnica: City of Guilds
2,Torpid Moloch,,147,Ravnica: City of Guilds
3,Swamp,,295,Ravnica: City of Guilds
3,Swamp,,296,Ravnica: City of Guilds
3,Swamp,,297,Ravnica: City of Guilds
3,Swamp,,298,Ravnica: City of Guilds
3,Mountain,,299,Ravnica: City of Guilds
2,Mountain,,300,Ravnica: City of Guilds
3,Mountain,,301,Ravnica: City of Guilds
3,Mountain,,302,Ravnica: City of Guilds
