Count,Name,Foil,Card Number,Edition
1,Dominating Licid,,30,Exodus
1,Equilibrium,,32,Exodus
2,Fade Away,,34,Exodus
2,Forbid,,35,Exodus
2,Killer Whale,,37,Exodus
2,Mirozel,,41,Exodus
4,Thalakos Scout,,48,Exodus
1,Treasure Trove,,50,Exodus
2,Wayward Soul,,51,Exodus
1,Erratic Portal,,132,Exodus
2,Cloud Spirit,,26,Stronghold
3,Mana Leak,,36,Stronghold
2,Mind Games,,38,Stronghold
2,Capsize,,55,Tempest
4,Counterspell,,57,Tempest
1,Legacy's Allure,,71,Tempest
1,Propaganda,,80,Tempest
1,Time Ebb,,96,Tempest
7,Island,,313,Tempest
7,Island,,314,Tempest
6,Island,,315,Tempest
6,Island,,316,Tempest
