Count,Name,Foil,Card Number,Edition
2,Battle Screech,,3,Judgment
3,Benevolent Bodyguard,,5,Judgment
1,Commander Eesha,,9,Judgment
3,Guided Strike,,13,Judgment
1,Prismatic Strands,,18,Judgment
1,Selfless Exorcist,,21,Judgment
1,Shieldmage Advocate,,22,Judgment
2,Spurnmage Advocate,,27,Judgment
4,Suntail Hawk,,28,Judgment
2,Unquestioned Authority,,31,Judgment
1,Valor,,32,Judgment
3,Militant Monk,,9,Torment
2,Aven Cloudchaser,,7,Odyssey
2,Beloved Chaplain,,11,Odyssey
1,Dedicated Martyr,,16,Odyssey
1,Embolden,,22,Odyssey
2,Mystic Penitent,,34,Odyssey
2,Nomad Decoy,,37,Odyssey
3,Patrol Hound,,38,Odyssey
2,Shelter,,46,Odyssey
1,Tireless Tribe,,56,Odyssey
5,Plains,,331,Odyssey
5,Plains,,332,Odyssey
5,Plains,,333,Odyssey
5,Plains,,334,Odyssey
