Count,Name,Foil,Card Number,Edition
1,Angelic Wall,,3,Odyssey
1,Beloved Chaplain,,11,Odyssey
2,Blessed Orator,,12,Odyssey
1,Embolden,,22,Odyssey
2,Hallowed Healer,,25,Odyssey
3,Kirtar's Desire,,27,Odyssey
1,Mystic Crusader,,33,Odyssey
1,Mystic Penitent,,34,Odyssey
2,Mystic Visionary,,35,Odyssey
3,Mystic Zealot,,36,Odyssey
1,Nomad Decoy,,37,Odyssey
1,Pilgrim of Justice,,40,Odyssey
1,Second Thoughts,,45,Odyssey
1,Shelter,,46,Odyssey
2,Aven Windreader,,65,Odyssey
2,Cephalid Broker,,71,Odyssey
2,Cephalid Looter,,72,Odyssey
1,Cephalid Retainer,,73,Odyssey
2,Cephalid Scout,,74,Odyssey
1,Peek,,91,Odyssey
1,Puppeteer,,97,Odyssey
2,Syncopate,,103,Odyssey
2,Think Tank,,104,Odyssey
2,Millikin,,302,Odyssey
1,Skycloud Egg,,309,Odyssey
1,Abandoned Outpost,,312,Odyssey
1,Seafloor Debris,,325,Odyssey
3,Plains,,331,Odyssey
3,Plains,,332,Odyssey
2,Plains,,333,Odyssey
2,Plains,,334,Odyssey
3,Island,,335,Odyssey
2,Island,,336,Odyssey
2,Island,,337,Odyssey
2,Island,,338,Odyssey
