Count,Name,Foil,Card Number,Edition
1,Earth Rift,,189,Odyssey
2,Engulfing Flames,,191,Odyssey
1,Firebolt,,193,Odyssey
2,Reckless Charge,,215,Odyssey
2,Scorching Missile,,219,Odyssey
1,Seize the Day,,220,Odyssey
1,Volcanic Spray,,226,Odyssey
2,Beast Attack,,230,Odyssey
3,Chatter of the Squirrel,,233,Odyssey
2,Deep Reconnaissance,,236,Odyssey
2,Druid Lyrist,,238,Odyssey
3,Elephant Ambush,,240,Odyssey
1,Gorilla Titan,,241,Odyssey
1,Howling Gale,,244,Odyssey
1,Krosan Archer,,246,Odyssey
2,Leaf Dancer,,249,Odyssey
1,Moment's Peace,,251,Odyssey
1,Nantuko Mentor,,255,Odyssey
1,Rabid Elephant,,263,Odyssey
1,Refresh,,264,Odyssey
2,Roar of the Wurm,,266,Odyssey
2,Sylvan Might,,277,Odyssey
3,Mountain,,343,Odyssey
3,Mountain,,344,Odyssey
2,Mountain,,345,Odyssey
2,Mountain,,346,Odyssey
4,Forest,,347,Odyssey
4,Forest,,348,Odyssey
4,Forest,,349,Odyssey
3,Forest,,350,Odyssey
