Count,Name,Foil,Card Number,Edition
1,"Braids, Cabal Minion",,117,Odyssey
2,Childhood Horror,,123,Odyssey
1,Crypt Creeper,,125,Odyssey
1,Face of Fear,,134,Odyssey
2,Famished Ghoul,,135,Odyssey
1,Frightcrawler,,138,Odyssey
2,Ghastly Demise,,139,Odyssey
1,Innocent Blood,,145,Odyssey
2,Morbid Hunger,,150,Odyssey
1,Morgue Theft,,151,Odyssey
1,Repentant Vampire,,157,Odyssey
2,Barbarian Lunatic,,175,Odyssey
2,Chainflinger,,181,Odyssey
1,Dwarven Strike Force,,188,Odyssey
2,Engulfing Flames,,191,Odyssey
2,Firebolt,,193,Odyssey
3,Flame Burst,,194,Odyssey
1,Halberdier,,196,Odyssey
1,Liquid Fire,,201,Odyssey
3,Pardic Firecat,,211,Odyssey
1,Reckless Charge,,215,Odyssey
1,Thermal Blast,,224,Odyssey
2,Shadowblood Egg,,308,Odyssey
1,Bog Wreckage,,314,Odyssey
2,Cabal Pit,,315,Odyssey
1,Ravaged Highlands,,324,Odyssey
3,Swamp,,339,Odyssey
3,Swamp,,340,Odyssey
3,Swamp,,341,Odyssey
2,Swamp,,342,Odyssey
3,Mountain,,343,Odyssey
2,Mountain,,344,Odyssey
2,Mountain,,345,Odyssey
2,Mountain,,346,Odyssey
