Count,Name,Foil,Card Number,Edition
2,Careful Study,,70,Odyssey
2,Cephalid Looter,,72,Odyssey
1,Deluge,,80,Odyssey
2,Peek,,91,Odyssey
2,Predict,,94,Odyssey
2,Repel,,98,Odyssey
2,Crashing Centaur,,235,Odyssey
2,Diligent Farmhand,,237,Odyssey
1,Ivy Elemental,,245,Odyssey
2,Krosan Avenger,,247,Odyssey
2,Metamorphic Wurm,,250,Odyssey
2,Muscle Burst,,252,Odyssey
2,Nimble Mongoose,,258,Odyssey
1,Overrun,,260,Odyssey
1,Roar of the Wurm,,266,Odyssey
1,Seton's Desire,,268,Odyssey
2,Springing Tiger,,272,Odyssey
1,Stone-Tongue Basilisk,,276,Odyssey
1,Sylvan Might,,277,Odyssey
1,Twigwalker,,279,Odyssey
2,Werebear,,282,Odyssey
2,Wild Mongrel,,283,Odyssey
1,Seafloor Debris,,325,Odyssey
1,Timberland Ruins,,330,Odyssey
3,Island,,335,Odyssey
2,Island,,336,Odyssey
2,Island,,337,Odyssey
2,Island,,338,Odyssey
4,Forest,,347,Odyssey
3,Forest,,348,Odyssey
3,Forest,,349,Odyssey
3,Forest,,350,Odyssey
