Count,Name,Foil,Card Number,Edition
2,Carbonize,,83,Scourge
1,Enrage,,91,Scourge
3,Goblin Brigand,,94,Scourge
1,Goblin Psychopath,,95,Scourge
2,Goblin War Strike,,96,Scourge
1,Goblin Warchief,,97,Scourge
3,Rock Jockey,,101,Scourge
1,Siege-Gang Commander,,103,Scourge
2,Skirk Volcanist,,104,Scourge
1,Sulfuric Vortex,,106,Scourge
1,Gempalm Incinerator,,94,Legions
2,Goblin Grappler,,100,Legions
1,Skirk Drill Sergeant,,112,Legions
2,Skirk Marauder,,113,Legions
1,Flamestick Courier,,203,Onslaught
2,Goblin Sky Raider,,208,Onslaught
2,Goblin Sledder,,209,Onslaught
2,Goblin Taskmaster,,210,Onslaught
1,Nosy Goblin,,220,Onslaught
1,Reckless One,,222,Onslaught
2,Skirk Commando,,228,Onslaught
1,Sparksmith,,235,Onslaught
1,Wave of Indifference,,243,Onslaught
2,Forgotten Cave,,317,Onslaught
2,Goblin Burrows,,318,Onslaught
5,Mountain,,343,Onslaught
5,Mountain,,344,Onslaught
5,Mountain,,345,Onslaught
5,Mountain,,346,Onslaught
