Count,Name,Foil,Card Number,Edition
1,Contempt,,27,Stronghold
1,Evacuation,,30,Stronghold
1,Intruder Alarm,,34,Stronghold
3,Mana Leak,,36,Stronghold
1,Mind Games,,38,Stronghold
1,Ransack,,39,Stronghold
1,Reins of Power,,41,Stronghold
1,Wall of Tears,,50,Stronghold
2,Fanning the Flames,,80,Stronghold
2,Flowstone Blade,,83,Stronghold
2,Shock,,98,Stronghold
1,Wall of Razors,,100,Stronghold
2,Capsize,,55,Tempest
1,Counterspell,,57,Tempest
2,Power Sink,,78,Tempest
2,Propaganda,,80,Tempest
2,Spell Blast,,89,Tempest
1,Whispers of the Muse,,103,Tempest
3,Lightning Blast,,185,Tempest
1,Mogg Fanatic,,190,Tempest
1,Searing Touch,,201,Tempest
1,Shatter,,203,Tempest
4,Island,,313,Tempest
4,Island,,314,Tempest
3,Island,,315,Tempest
3,Island,,316,Tempest
4,Mountain,,319,Tempest
3,Mountain,,320,Tempest
3,Mountain,,321,Tempest
3,Mountain,,322,Tempest
