Count,Name,Foil,Card Number,Edition
3,Aquamoeba,,24,Torment
1,Balshan Collaborator,,25,Torment
1,Breakthrough,,26,Torment
1,Cephalid Aristocrat,,27,Torment
1,Cephalid Illusionist,,28,Torment
1,Cephalid Vandal,,31,Torment
2,Churning Eddy,,32,Torment
2,Compulsion,,34,Torment
1,False Memories,,37,Torment
2,Obsessive Search,,43,Torment
1,Skywing Aven,,47,Torment
2,Chainer's Edict,,57,Torment
4,Organ Grinder,,75,Torment
2,Tainted Isle,,141,Torment
2,Careful Study,,70,Odyssey
1,Cephalid Broker,,71,Odyssey
2,Cephalid Looter,,72,Odyssey
2,Afflict,,115,Odyssey
2,Crypt Creeper,,125,Odyssey
1,Morgue Theft,,151,Odyssey
1,Painbringer,,155,Odyssey
1,Zombie Assassin,,168,Odyssey
2,Psychatog,,292,Odyssey
3,Island,,335,Odyssey
3,Island,,336,Odyssey
3,Island,,337,Odyssey
2,Island,,338,Odyssey
3,Swamp,,339,Odyssey
3,Swamp,,340,Odyssey
3,Swamp,,341,Odyssey
2,Swamp,,342,Odyssey
