Count,Name,Foil,Card Number,Edition
2,Boneshard Slasher,,50,Torment
2,Carrion Rats,,54,Torment
1,Grotesque Hybrid,,63,Torment
3,Putrid Imp,,77,Torment
2,Strength of Lunacy,,86,Torment
2,Waste Away,,88,Torment
2,Acorn Harvest,,118,Torment
1,Anurid Scavenger,,119,Torment
2,Arrogant Wurm,,120,Torment
3,Basking Rootwalla,,121,Torment
2,Centaur Veteran,,123,Torment
2,Krosan Constrictor,,129,Torment
1,Nantuko Blightcutter,,131,Torment
1,Nantuko Cultivator,,133,Torment
1,Narcissism,,134,Torment
2,Tainted Wood,,143,Torment
2,Krosan Archer,,246,Odyssey
2,Muscle Burst,,252,Odyssey
2,Sylvan Might,,277,Odyssey
3,Wild Mongrel,,283,Odyssey
12,Swamp,,341,Odyssey
10,Forest,,349,Odyssey
