Count,Name,Foil,Card Number,Edition
1,Angel of Retribution,,1,Torment
1,Hypochondria,,7,Torment
3,Mystic Familiar,,11,Torment
1,Stern Judge,,16,Torment
1,Strength of Isolation,,17,Torment
3,Teroh's Faithful,,18,Torment
1,Teroh's Vanguard,,19,Torment
2,Cabal Surgeon,,52,Torment
1,Carrion Wurm,,55,Torment
4,Crippling Fatigue,,58,Torment
1,Grotesque Hybrid,,63,Torment
1,Ichorid,,65,Torment
3,Putrid Imp,,77,Torment
2,Tainted Field,,140,Torment
1,Auramancer,,5,Odyssey
1,Aven Cloudchaser,,7,Odyssey
3,Buried Alive,,118,Odyssey
1,Crypt Creeper,,125,Odyssey
4,Gravedigger,,140,Odyssey
1,Malevolent Awakening,,147,Odyssey
1,Whispering Shade,,167,Odyssey
1,Zombify,,171,Odyssey
3,Plains,,331,Odyssey
3,Plains,,332,Odyssey
2,Plains,,333,Odyssey
2,Plains,,334,Odyssey
3,Swamp,,339,Odyssey
3,Swamp,,340,Odyssey
3,Swamp,,341,Odyssey
3,Swamp,,342,Odyssey
