Count,Name,Foil,Card Number,Edition
1,"Chainer, Dementia Master",,56,Torment
3,Faceless Butcher,,60,Torment
1,Gravegouger,,62,Torment
3,Mesmeric Fiend,,69,Torment
2,Rancid Earth,,78,Torment
1,Shade's Form,,81,Torment
1,Slithery Stalker,,84,Torment
3,Soul Scourge,,85,Torment
3,Barbarian Outcast,,92,Torment
1,Enslaved Dwarf,,96,Torment
1,Flaming Gambit,,98,Torment
2,Pardic Collaborator,,106,Torment
1,Petradon,,108,Torment
3,Petravark,,109,Torment
2,Pyromania,,112,Torment
2,Temporary Insanity,,116,Torment
2,Tainted Peak,,142,Torment
1,Caustic Tar,,122,Odyssey
1,Malevolent Awakening,,147,Odyssey
1,Demolish,,183,Odyssey
2,Firebolt,,193,Odyssey
2,Flame Burst,,194,Odyssey
3,Swamp,,339,Odyssey
3,Swamp,,340,Odyssey
3,Swamp,,341,Odyssey
3,Swamp,,342,Odyssey
3,Mountain,,343,Odyssey
2,Mountain,,344,Odyssey
2,Mountain,,345,Odyssey
2,Mountain,,346,Odyssey
