Count,Name,Foil,Card Number,Edition
1,Ajani's Pridemate,,5,Core Set 2019
1,Knight's Pledge,,19,Core Set 2019
1,Leonin Vanguard,,22,Core Set 2019
2,Luminous Bonds,,25,Core Set 2019
1,Militia Bugler,,29,Core Set 2019
1,Pegasus Courser,,32,Core Set 2019
1,Revitalize,,35,Core Set 2019
1,Trusty Packbeast,,41,Core Set 2019
1,Anticipate,,44,Core Set 2019
1,Aven Wind Mage,,45,Core Set 2019
1,Aviation Pioneer,,46,Core Set 2019
1,Divination,,51,Core Set 2019
1,Exclusion Mage,,55,Core Set 2019
1,Gearsmith Prodigy,,57,Core Set 2019
1,Omenspeaker,,64,Core Set 2019
1,Scholar of Stars,,71,Core Set 2019
1,Skilled Animator,,73,Core Set 2019
1,Abnormal Endurance,,85,Core Set 2019
1,Child of Night,,89,Core Set 2019
1,Doomed Dissenter,,93,Core Set 2019
2,Duress,,94,Core Set 2019
1,Epicure of Blood,,95,Core Set 2019
1,Gravedigger,,98,Core Set 2019
1,Macabre Waltz,,108,Core Set 2019
1,Murder,,110,Core Set 2019
1,Reassembling Skeleton,,116,Core Set 2019
1,Skymarch Bloodletter,,119,Core Set 2019
1,Vampire Sovereign,,125,Core Set 2019
1,Goblin Instigator,,142,Core Set 2019
1,Guttersnipe,,145,Core Set 2019
1,Lightning Strike,,152,Core Set 2019
2,Shock,,156,Core Set 2019
1,Sparktongue Dragon,,159,Core Set 2019
1,Tormenting Voice,,164,Core Set 2019
1,Trumpet Blast,,165,Core Set 2019
2,Viashino Pyromancer,,166,Core Set 2019
1,Volcanic Dragon,,167,Core Set 2019
1,Blanchwood Armor,,169,Core Set 2019
1,Colossal Dreadmaw,,172,Core Set 2019
1,Colossal Majesty,,173,Core Set 2019
1,Declare Dominance,,175,Core Set 2019
1,Druid of Horns,,176,Core Set 2019
1,Elvish Rejuvenator,,180,Core Set 2019
1,Naturalize,,190,Core Set 2019
1,Plummet,,193,Core Set 2019
1,Rabid Bite,,195,Core Set 2019
2,Talons of Wildwood,,202,Core Set 2019
1,Aerial Engineer,,211,Core Set 2019
1,Brawl-Bash Ogre,,213,Core Set 2019
1,Draconic Disciple,,215,Core Set 2019
1,Enigma Drake,,216,Core Set 2019
1,Heroic Reinforcements,,217,Core Set 2019
1,Poison-Tip Archer,,220,Core Set 2019
1,Psychic Symbiont,,221,Core Set 2019
1,Regal Bloodlord,,222,Core Set 2019
1,Satyr Enchanter,,223,Core Set 2019
1,Skyrider Patrol,,224,Core Set 2019
1,Diamond Mare,,231,Core Set 2019
1,Explosive Apparatus,,233,Core Set 2019
1,Gargoyle Sentinel,,236,Core Set 2019
2,Manalith,,239,Core Set 2019
1,Rogue's Gloves,,243,Core Set 2019
2,Cinder Barrens,,248,Core Set 2019
2,Forsaken Sanctuary,,250,Core Set 2019
2,Foul Orchard,,251,Core Set 2019
2,Highland Lake,,252,Core Set 2019
2,Meandering River,,253,Core Set 2019
2,Stone Quarry,,256,Core Set 2019
2,Submerged Boneyard,,257,Core Set 2019
2,Timber Gorge,,258,Core Set 2019
2,Tranquil Expanse,,259,Core Set 2019
2,Woodland Stream,,260,Core Set 2019
1,Serra's Guardian,,284,Core Set 2019
1,Riddlemaster Sphinx,,287,Core Set 2019
1,Gravewaker,,293,Core Set 2019
1,Shivan Dragon,,300,Core Set 2019
1,Aggressive Mammoth,,302,Core Set 2019
1,Gideon's Reproach,,19,Dominaria
1,Knight of New Benalia,,24,Dominaria
1,Seal Away,,31,Dominaria
1,Serra Angel,,33,Dominaria
1,Cloudreader Sphinx,,47,Dominaria
1,Opt,,60,Dominaria
1,Wizard's Retort,,75,Dominaria
1,Ghitu Lavarunner,,127,Dominaria
1,Wizard's Lightning,,152,Dominaria
1,Adventurous Impulse,,153,Dominaria
2,Llanowar Elves,,168,Dominaria
2,Skittering Surveyor,,230,Dominaria
1,Martyr of Dusk,,14,Rivals of Ixalan
1,Squire's Devotion,,25,Rivals of Ixalan
1,Negate,,44,Rivals of Ixalan
1,Dusk Legion Zealot,,70,Rivals of Ixalan
2,Moment of Craving,,79,Rivals of Ixalan
1,Ravenous Chupacabra,,82,Rivals of Ixalan
1,Bombard,,93,Rivals of Ixalan
1,Fanatical Firebrand,,101,Rivals of Ixalan
1,Thrashing Brontodon,,148,Rivals of Ixalan
1,Queen's Commission,,29,Ixalan
1,Chart a Course,,48,Ixalan
1,Perilous Voyage,,67,Ixalan
1,Costly Plunder,,96,Ixalan
1,Charging Monstrosaur,,138,Ixalan
1,Hijack,,148,Ixalan
1,Grazing Whiptail,,190,Ixalan
1,Jungle Delver,,195,Ixalan
5,Plains,,261,Core Set 2019
5,Plains,,262,Core Set 2019
5,Plains,,263,Core Set 2019
5,Plains,,264,Core Set 2019
5,Island,,265,Core Set 2019
5,Island,,266,Core Set 2019
5,Island,,267,Core Set 2019
5,Island,,268,Core Set 2019
5,Swamp,,269,Core Set 2019
5,Swamp,,270,Core Set 2019
5,Swamp,,271,Core Set 2019
5,Swamp,,272,Core Set 2019
5,Mountain,,273,Core Set 2019
5,Mountain,,274,Core Set 2019
5,Mountain,,275,Core Set 2019
5,Mountain,,276,Core Set 2019
5,Forest,,277,Core Set 2019
5,Forest,,278,Core Set 2019
5,Forest,,279,Core Set 2019
5,Forest,,280,Core Set 2019
