Count,Name,Foil,Card Number,Edition
1,Inquisitor Greyfax,foil,320,"Warhammer 40,000"
1,Inquisitor Greyfax,foil,173,"Warhammer 40,000"
1,Marneus Calgar,foil,175,"Warhammer 40,000"
1,And They Shall Know No Fear,,9,"Warhammer 40,000"
1,"Celestine, the Living Saint",,10,"Warhammer 40,000"
1,Defenders of Humanity,,11,"Warhammer 40,000"
1,For the Emperor!,,12,"Warhammer 40,000"
1,Grey Knight Paragon,,13,"Warhammer 40,000"
1,Space Marine Devastator,,14,"Warhammer 40,000"
1,Space Marine Scout,,15,"Warhammer 40,000"
1,Thunderwolf Cavalry,,16,"Warhammer 40,000"
1,Triumph of Saint Katherine,,17,"Warhammer 40,000"
1,Ultramarines Honour Guard,,18,"Warhammer 40,000"
1,Vexilus Praetor,,19,"Warhammer 40,000"
1,Zephyrim,,20,"Warhammer 40,000"
1,Sicarian Infiltrator,,25,"Warhammer 40,000"
1,Sister of Silence,,26,"Warhammer 40,000"
1,Vanguard Suppressor,,27,"Warhammer 40,000"
1,Arco-Flagellant,,29,"Warhammer 40,000"
1,Primaris Eliminator,,50,"Warhammer 40,000"
1,Sanguinary Priest,,53,"Warhammer 40,000"
1,Assault Intercessor,,104,"Warhammer 40,000"
1,Belisarius Cawl,,106,"Warhammer 40,000"
1,Birth of the Imperium,,107,"Warhammer 40,000"
1,Callidus Assassin,,109,"Warhammer 40,000"
1,Commissar Severina Raine,,112,"Warhammer 40,000"
1,Company Commander,,113,"Warhammer 40,000"
1,Cybernetica Datasmith,,114,"Warhammer 40,000"
1,Deny the Witch,,116,"Warhammer 40,000"
1,Epistolary Librarian,,118,"Warhammer 40,000"
1,Exterminatus,,120,"Warhammer 40,000"
1,The Flesh Is Weak,,122,"Warhammer 40,000"
1,Inquisitor Eisenhorn,,127,"Warhammer 40,000"
1,Neyam Shai Murad,,135,"Warhammer 40,000"
1,Primaris Chaplain,,137,"Warhammer 40,000"
1,Sister Hospitaller,,141,"Warhammer 40,000"
1,Sister Repentia,,142,"Warhammer 40,000"
1,The Golden Throne,,157,"Warhammer 40,000"
1,Inquisitorial Rosette,,159,"Warhammer 40,000"
1,Knight Paladin,,160,"Warhammer 40,000"
1,Reaver Titan,,163,"Warhammer 40,000"
1,Redemptor Dreadnought,,164,"Warhammer 40,000"
1,Thunderhawk Gunship,,167,"Warhammer 40,000"
1,Bastion Protector,,182,"Warhammer 40,000"
1,Collective Effort,,183,"Warhammer 40,000"
1,Deploy to the Front,,184,"Warhammer 40,000"
1,Entrapment Maneuver,,185,"Warhammer 40,000"
1,Fell the Mighty,,186,"Warhammer 40,000"
1,Hour of Reckoning,,187,"Warhammer 40,000"
1,Launch the Fleet,,188,"Warhammer 40,000"
1,Martial Coup,,189,"Warhammer 40,000"
1,Swords to Plowshares,,190,"Warhammer 40,000"
1,Reconnaissance Mission,,193,"Warhammer 40,000"
1,Mortify,,225,"Warhammer 40,000"
1,Utter End,,226,"Warhammer 40,000"
1,Arcane Signet,,229,"Warhammer 40,000"
1,Commander's Sphere,,233,"Warhammer 40,000"
1,Everflowing Chalice,,238,"Warhammer 40,000"
1,Mind Stone,,244,"Warhammer 40,000"
1,Skullclamp,,248,"Warhammer 40,000"
1,Sol Ring,,251,"Warhammer 40,000"
1,Talisman of Dominance,,254,"Warhammer 40,000"
1,Talisman of Hierarchy,,256,"Warhammer 40,000"
1,Talisman of Progress,,258,"Warhammer 40,000"
1,Arcane Sanctum,,264,"Warhammer 40,000"
1,Ash Barrens,,265,"Warhammer 40,000"
1,Choked Estuary,,268,"Warhammer 40,000"
1,Command Tower,,272,"Warhammer 40,000"
1,Darkwater Catacombs,,274,"Warhammer 40,000"
1,Dismal Backwater,,276,"Warhammer 40,000"
1,Evolving Wilds,,277,"Warhammer 40,000"
1,Exotic Orchard,,278,"Warhammer 40,000"
1,Memorial to Glory,,283,"Warhammer 40,000"
1,Path of Ancestry,,287,"Warhammer 40,000"
1,Port Town,,289,"Warhammer 40,000"
1,Prairie Stream,,290,"Warhammer 40,000"
1,Scoured Barrens,,293,"Warhammer 40,000"
1,Skycloud Expanse,,294,"Warhammer 40,000"
1,Sunken Hollow,,295,"Warhammer 40,000"
1,Terramorphic Expanse,,301,"Warhammer 40,000"
1,Tranquil Cove,,303,"Warhammer 40,000"
8,Plains,,306,"Warhammer 40,000"
5,Island,,307,"Warhammer 40,000"
7,Swamp,,314,"Warhammer 40,000"
1,Soldier // Space Marine Devastator,,9,"Extras: Warhammer 40,000"
1,Soldier // Zephyrim,,10,"Extras: Warhammer 40,000"
1,Soldier // Ultramarines Honor Guard,,11,"Extras: Warhammer 40,000"
1,Soldier // Sicarian Infiltrator,,12,"Extras: Warhammer 40,000"
1,Soldier // Vanguard Suppressor,,13,"Extras: Warhammer 40,000"
1,Soldier // Arco-Flagellant,,14,"Extras: Warhammer 40,000"
2,Astartes Warrior // Robot,,15,"Extras: Warhammer 40,000"
1,Astartes Warrior // Cherubael,,16,"Extras: Warhammer 40,000"
1,Astartes Warrior // Clue,,17,"Extras: Warhammer 40,000"
