Count,Name,Foil,Card Number,Edition
1,Inquisitor Greyfax,foil,179,"Warhammer 40,000"
1,Inquisitor Greyfax,foil,3,"Warhammer 40,000"
1,Marneus Calgar,foil,8,"Warhammer 40,000"
1,And They Shall Know No Fear,foil,9,"Warhammer 40,000"
1,"Celestine, the Living Saint",foil,10,"Warhammer 40,000"
1,Defenders of Humanity,foil,11,"Warhammer 40,000"
1,For the Emperor!,foil,12,"Warhammer 40,000"
1,Grey Knight Paragon,foil,13,"Warhammer 40,000"
1,Space Marine Devastator,foil,14,"Warhammer 40,000"
1,Space Marine Scout,foil,15,"Warhammer 40,000"
1,Thunderwolf Cavalry,foil,16,"Warhammer 40,000"
1,Triumph of Saint Katherine,foil,17,"Warhammer 40,000"
1,Ultramarines Honour Guard,foil,18,"Warhammer 40,000"
1,Vexilus Praetor,foil,19,"Warhammer 40,000"
1,Zephyrim,foil,20,"Warhammer 40,000"
1,Sicarian Infiltrator,foil,25,"Warhammer 40,000"
1,Sister of Silence,foil,26,"Warhammer 40,000"
1,Vanguard Suppressor,foil,27,"Warhammer 40,000"
1,Arco-Flagellant,foil,29,"Warhammer 40,000"
1,Primaris Eliminator,foil,50,"Warhammer 40,000"
1,Sanguinary Priest,foil,53,"Warhammer 40,000"
1,Assault Intercessor,foil,104,"Warhammer 40,000"
1,Belisarius Cawl,foil,106,"Warhammer 40,000"
1,Birth of the Imperium,foil,107,"Warhammer 40,000"
1,Callidus Assassin,foil,109,"Warhammer 40,000"
1,Commissar Severina Raine,foil,112,"Warhammer 40,000"
1,Company Commander,foil,113,"Warhammer 40,000"
1,Cybernetica Datasmith,foil,114,"Warhammer 40,000"
1,Deny the Witch,foil,116,"Warhammer 40,000"
1,Epistolary Librarian,foil,118,"Warhammer 40,000"
1,Exterminatus,foil,120,"Warhammer 40,000"
1,The Flesh Is Weak,foil,122,"Warhammer 40,000"
1,Inquisitor Eisenhorn,foil,127,"Warhammer 40,000"
1,Neyam Shai Murad,foil,135,"Warhammer 40,000"
1,Primaris Chaplain,foil,137,"Warhammer 40,000"
1,Sister Hospitaller,foil,141,"Warhammer 40,000"
1,Sister Repentia,foil,142,"Warhammer 40,000"
1,The Golden Throne,foil,157,"Warhammer 40,000"
1,Inquisitorial Rosette,foil,159,"Warhammer 40,000"
1,Knight Paladin,foil,160,"Warhammer 40,000"
1,Reaver Titan,foil,163,"Warhammer 40,000"
1,Redemptor Dreadnought,foil,164,"Warhammer 40,000"
1,Thunderhawk Gunship,foil,167,"Warhammer 40,000"
1,Bastion Protector,foil,182,"Warhammer 40,000"
1,Collective Effort,foil,183,"Warhammer 40,000"
1,Deploy to the Front,foil,184,"Warhammer 40,000"
1,Entrapment Maneuver,foil,185,"Warhammer 40,000"
1,Fell the Mighty,foil,186,"Warhammer 40,000"
1,Hour of Reckoning,foil,187,"Warhammer 40,000"
1,Launch the Fleet,foil,188,"Warhammer 40,000"
1,Martial Coup,foil,189,"Warhammer 40,000"
1,Swords to Plowshares,foil,190,"Warhammer 40,000"
1,Reconnaissance Mission,foil,193,"Warhammer 40,000"
1,Mortify,foil,225,"Warhammer 40,000"
1,Utter End,foil,226,"Warhammer 40,000"
1,Arcane Signet,foil,229,"Warhammer 40,000"
1,Commander's Sphere,foil,233,"Warhammer 40,000"
1,Everflowing Chalice,foil,238,"Warhammer 40,000"
1,Mind Stone,foil,244,"Warhammer 40,000"
1,Skullclamp,foil,248,"Warhammer 40,000"
1,Sol Ring,foil,251,"Warhammer 40,000"
1,Talisman of Dominance,foil,254,"Warhammer 40,000"
1,Talisman of Hierarchy,foil,256,"Warhammer 40,000"
1,Talisman of Progress,foil,258,"Warhammer 40,000"
1,Arcane Sanctum,foil,264,"Warhammer 40,000"
1,Ash Barrens,foil,265,"Warhammer 40,000"
1,Choked Estuary,foil,268,"Warhammer 40,000"
1,Command Tower,foil,272,"Warhammer 40,000"
1,Darkwater Catacombs,foil,274,"Warhammer 40,000"
1,Dismal Backwater,foil,276,"Warhammer 40,000"
1,Evolving Wilds,foil,277,"Warhammer 40,000"
1,Exotic Orchard,foil,278,"Warhammer 40,000"
1,Memorial to Glory,foil,283,"Warhammer 40,000"
1,Path of Ancestry,foil,287,"Warhammer 40,000"
1,Port Town,foil,289,"Warhammer 40,000"
1,Prairie Stream,foil,290,"Warhammer 40,000"
1,Scoured Barrens,foil,293,"Warhammer 40,000"
1,Skycloud Expanse,foil,294,"Warhammer 40,000"
1,Sunken Hollow,foil,295,"Warhammer 40,000"
1,Terramorphic Expanse,foil,301,"Warhammer 40,000"
1,Tranquil Cove,foil,303,"Warhammer 40,000"
8,Plains,foil,306,"Warhammer 40,000"
5,Island,foil,307,"Warhammer 40,000"
7,Swamp,foil,314,"Warhammer 40,000"
1,Soldier // Space Marine Devastator,foil,9,"Extras: Warhammer 40,000"
1,Soldier // Zephyrim,foil,10,"Extras: Warhammer 40,000"
1,Soldier // Ultramarines Honor Guard,foil,11,"Extras: Warhammer 40,000"
1,Soldier // Sicarian Infiltrator,foil,12,"Extras: Warhammer 40,000"
1,Soldier // Vanguard Suppressor,foil,13,"Extras: Warhammer 40,000"
1,Soldier // Arco-Flagellant,foil,14,"Extras: Warhammer 40,000"
2,Astartes Warrior // Robot,foil,15,"Extras: Warhammer 40,000"
1,Astartes Warrior // Cherubael,foil,16,"Extras: Warhammer 40,000"
1,Astartes Warrior // Clue,foil,17,"Extras: Warhammer 40,000"
