Count,Name,Foil,Card Number,Edition
1,"Szarekh, the Silent King",foil,177,"Warhammer 40,000"
1,"Szarekh, the Silent King",foil,1,"Warhammer 40,000"
1,Imotekh the Stormlord,foil,5,"Warhammer 40,000"
1,Anrakyr the Traveller,foil,28,"Warhammer 40,000"
1,Biotransference,foil,30,"Warhammer 40,000"
1,Chronomancer,foil,32,"Warhammer 40,000"
1,Cryptek,foil,33,"Warhammer 40,000"
1,Flayed One,foil,34,"Warhammer 40,000"
1,Hexmark Destroyer,foil,36,"Warhammer 40,000"
1,Illuminor Szeras,foil,37,"Warhammer 40,000"
1,Lokhust Heavy Destroyer,foil,38,"Warhammer 40,000"
1,Lychguard,foil,39,"Warhammer 40,000"
1,Necron Deathmark,foil,42,"Warhammer 40,000"
1,Necron Overlord,foil,43,"Warhammer 40,000"
1,Out of the Tombs,foil,46,"Warhammer 40,000"
1,Plasmancer,foil,48,"Warhammer 40,000"
1,Psychomancer,foil,51,"Warhammer 40,000"
1,Royal Warden,foil,52,"Warhammer 40,000"
1,Sautekh Immortal,foil,54,"Warhammer 40,000"
1,Shard of the Nightbringer,foil,55,"Warhammer 40,000"
1,Shard of the Void Dragon,foil,56,"Warhammer 40,000"
1,Skorpekh Destroyer,foil,57,"Warhammer 40,000"
1,Skorpekh Lord,foil,58,"Warhammer 40,000"
1,Technomancer,foil,61,"Warhammer 40,000"
1,Their Name Is Death,foil,62,"Warhammer 40,000"
1,Their Number Is Legion,foil,63,"Warhammer 40,000"
1,Tomb Blade,foil,64,"Warhammer 40,000"
1,Trazyn the Infinite,foil,65,"Warhammer 40,000"
1,Triarch Praetorian,foil,66,"Warhammer 40,000"
1,Triarch Stalker,foil,67,"Warhammer 40,000"
1,The War in Heaven,foil,69,"Warhammer 40,000"
1,Canoptek Scarab Swarm,foil,150,"Warhammer 40,000"
1,Canoptek Spyder,foil,151,"Warhammer 40,000"
1,Canoptek Tomb Sentinel,foil,152,"Warhammer 40,000"
1,Canoptek Wraith,foil,153,"Warhammer 40,000"
1,Convergence of Dominion,foil,154,"Warhammer 40,000"
1,Cryptothrall,foil,155,"Warhammer 40,000"
1,Ghost Ark,foil,156,"Warhammer 40,000"
1,Necron Monolith,foil,161,"Warhammer 40,000"
1,Night Scythe,foil,162,"Warhammer 40,000"
1,Resurrection Orb,foil,165,"Warhammer 40,000"
1,Sceptre of Eternal Glory,foil,166,"Warhammer 40,000"
1,Tomb Fortress,foil,168,"Warhammer 40,000"
1,Beacon of Unrest,foil,194,"Warhammer 40,000"
1,Darkness,foil,197,"Warhammer 40,000"
1,Defile,foil,199,"Warhammer 40,000"
1,Dread Return,foil,200,"Warhammer 40,000"
1,Go for the Throat,foil,201,"Warhammer 40,000"
1,Living Death,foil,202,"Warhammer 40,000"
1,Mutilate,foil,203,"Warhammer 40,000"
1,Arcane Signet,foil,228,"Warhammer 40,000"
1,Caged Sun,foil,231,"Warhammer 40,000"
1,Commander's Sphere,foil,234,"Warhammer 40,000"
1,Cranial Plating,foil,236,"Warhammer 40,000"
1,Endless Atlas,foil,237,"Warhammer 40,000"
1,Gilded Lotus,foil,239,"Warhammer 40,000"
1,Hedron Archive,foil,240,"Warhammer 40,000"
1,Mask of Memory,foil,243,"Warhammer 40,000"
1,Mind Stone,foil,245,"Warhammer 40,000"
1,Mystic Forge,foil,246,"Warhammer 40,000"
1,Sculpting Steel,foil,247,"Warhammer 40,000"
1,Sol Ring,foil,252,"Warhammer 40,000"
1,Thought Vessel,foil,259,"Warhammer 40,000"
1,Unstable Obelisk,foil,260,"Warhammer 40,000"
1,Wayfarer's Bauble,foil,262,"Warhammer 40,000"
1,Barren Moor,foil,266,"Warhammer 40,000"
1,Desert of the Glorified,foil,275,"Warhammer 40,000"
1,Myriad Landscape,foil,285,"Warhammer 40,000"
1,Polluted Mire,foil,288,"Warhammer 40,000"
1,Reliquary Tower,foil,291,"Warhammer 40,000"
1,Vault of Whispers,foil,305,"Warhammer 40,000"
10,Swamp,foil,310,"Warhammer 40,000"
10,Swamp,foil,312,"Warhammer 40,000"
10,Swamp,foil,313,"Warhammer 40,000"
10,Necron Warrior // Insect,foil,8,"Extras: Warhammer 40,000"
