Count,Name,Foil,Card Number,Edition
1,Abaddon the Despoiler,foil,319,"Warhammer 40,000"
1,Abaddon the Despoiler,foil,171,"Warhammer 40,000"
1,"Be'lakor, the Dark Master",foil,172,"Warhammer 40,000"
1,Heralds of Tzeentch,,23,"Warhammer 40,000"
1,Lord of Change,,24,"Warhammer 40,000"
1,Blight Grenade,,31,"Warhammer 40,000"
1,Great Unclean One,,35,"Warhammer 40,000"
1,Mandate of Abaddon,,40,"Warhammer 40,000"
1,"Mortarion, Daemon Primarch",,41,"Warhammer 40,000"
1,Nurgle's Conscription,,44,"Warhammer 40,000"
1,Nurgle's Rot,,45,"Warhammer 40,000"
1,Plague Drone,,47,"Warhammer 40,000"
1,Poxwalkers,,49,"Warhammer 40,000"
1,Sloppity Bilepiper,,59,"Warhammer 40,000"
1,Tallyman of Nurgle,,60,"Warhammer 40,000"
1,Venomcrawler,,68,"Warhammer 40,000"
1,Aspiring Champion,,71,"Warhammer 40,000"
1,Bloodcrusher of Khorne,,72,"Warhammer 40,000"
1,Bloodthirster,,73,"Warhammer 40,000"
1,Chaos Terminator Lord,,74,"Warhammer 40,000"
1,Dark Apostle,,75,"Warhammer 40,000"
1,Herald of Slaanesh,,77,"Warhammer 40,000"
1,Keeper of Secrets,,78,"Warhammer 40,000"
1,Khârn the Betrayer,,79,"Warhammer 40,000"
1,Knight Rampager,,80,"Warhammer 40,000"
1,Let the Galaxy Burn,,81,"Warhammer 40,000"
1,Noise Marine,,82,"Warhammer 40,000"
1,Seeker of Slaanesh,,85,"Warhammer 40,000"
1,Blood for the Blood God!,,108,"Warhammer 40,000"
1,Chaos Defiler,,110,"Warhammer 40,000"
1,Chaos Mutation,,111,"Warhammer 40,000"
1,Drach'Nyen,,117,"Warhammer 40,000"
1,Exalted Flamer of Tzeentch,,119,"Warhammer 40,000"
1,Helbrute,,125,"Warhammer 40,000"
1,The Horus Heresy,,126,"Warhammer 40,000"
1,Kill! Maim! Burn!,,128,"Warhammer 40,000"
1,The Lost and the Damned,,129,"Warhammer 40,000"
1,Lucius the Eternal,,130,"Warhammer 40,000"
1,Magnus the Red,,131,"Warhammer 40,000"
1,Mutalith Vortex Beast,,134,"Warhammer 40,000"
1,Pink Horror,,136,"Warhammer 40,000"
1,The Ruinous Powers,,139,"Warhammer 40,000"
1,Tzaangor Shaman,,146,"Warhammer 40,000"
1,Brainstorm,,192,"Warhammer 40,000"
1,Bile Blight,,195,"Warhammer 40,000"
1,Dark Ritual,,196,"Warhammer 40,000"
1,Decree of Pain,,198,"Warhammer 40,000"
1,Blasphemous Act,,204,"Warhammer 40,000"
1,Chaos Warp,,205,"Warhammer 40,000"
1,Past in Flames,,206,"Warhammer 40,000"
1,Reverberate,,207,"Warhammer 40,000"
1,Warstorm Surge,,209,"Warhammer 40,000"
1,Bituminous Blast,,221,"Warhammer 40,000"
1,Deny Reality,,223,"Warhammer 40,000"
1,Assault Suit,,230,"Warhammer 40,000"
1,Chromatic Lantern,,232,"Warhammer 40,000"
1,Commander's Sphere,,235,"Warhammer 40,000"
1,Sol Ring,,250,"Warhammer 40,000"
1,Talisman of Creativity,,253,"Warhammer 40,000"
1,Talisman of Dominance,,255,"Warhammer 40,000"
1,Talisman of Indulgence,,257,"Warhammer 40,000"
1,Wayfarer's Bauble,,261,"Warhammer 40,000"
1,Worn Powerstone,,263,"Warhammer 40,000"
1,Barren Moor,,266,"Warhammer 40,000"
1,Command Tower,,271,"Warhammer 40,000"
1,Crumbling Necropolis,,273,"Warhammer 40,000"
1,Dismal Backwater,,276,"Warhammer 40,000"
1,Evolving Wilds,,277,"Warhammer 40,000"
1,Exotic Orchard,,278,"Warhammer 40,000"
1,Foreboding Ruins,,279,"Warhammer 40,000"
1,Forgotten Cave,,280,"Warhammer 40,000"
1,Molten Slagheap,,284,"Warhammer 40,000"
1,Path of Ancestry,,287,"Warhammer 40,000"
1,Sunken Hollow,,295,"Warhammer 40,000"
1,Swiftwater Cliffs,,296,"Warhammer 40,000"
1,Temple of the False God,,300,"Warhammer 40,000"
1,Terramorphic Expanse,,301,"Warhammer 40,000"
8,Island,,308,"Warhammer 40,000"
8,Swamp,,311,"Warhammer 40,000"
8,Mountain,,316,"Warhammer 40,000"
4,Plaguebearer of Nurgle // Astartes Warrior,,4,"Extras: Warhammer 40,000"
2,Plaguebearer of Nurgle // Spawn,,5,"Extras: Warhammer 40,000"
2,Spawn // Astartes Warrior,,6,"Extras: Warhammer 40,000"
2,Spawn // Blue Horror,,7,"Extras: Warhammer 40,000"
