Count,Name,Foil,Card Number,Edition
1,Abaddon the Despoiler,foil,178,"Warhammer 40,000"
1,Abaddon the Despoiler,foil,2,"Warhammer 40,000"
1,"Be'lakor, the Dark Master",foil,6,"Warhammer 40,000"
1,Heralds of Tzeentch,foil,23,"Warhammer 40,000"
1,Lord of Change,foil,24,"Warhammer 40,000"
1,Blight Grenade,foil,31,"Warhammer 40,000"
1,Great Unclean One,foil,35,"Warhammer 40,000"
1,Mandate of Abaddon,foil,40,"Warhammer 40,000"
1,"Mortarion, Daemon Primarch",foil,41,"Warhammer 40,000"
1,Nurgle's Conscription,foil,44,"Warhammer 40,000"
1,Nurgle's Rot,foil,45,"Warhammer 40,000"
1,Plague Drone,foil,47,"Warhammer 40,000"
1,Poxwalkers,foil,49,"Warhammer 40,000"
1,Sloppity Bilepiper,foil,59,"Warhammer 40,000"
1,Tallyman of Nurgle,foil,60,"Warhammer 40,000"
1,Venomcrawler,foil,68,"Warhammer 40,000"
1,Aspiring Champion,foil,71,"Warhammer 40,000"
1,Bloodcrusher of Khorne,foil,72,"Warhammer 40,000"
1,Bloodthirster,foil,73,"Warhammer 40,000"
1,Chaos Terminator Lord,foil,74,"Warhammer 40,000"
1,Dark Apostle,foil,75,"Warhammer 40,000"
1,Herald of Slaanesh,foil,77,"Warhammer 40,000"
1,Keeper of Secrets,foil,78,"Warhammer 40,000"
1,Khârn the Betrayer,foil,79,"Warhammer 40,000"
1,Knight Rampager,foil,80,"Warhammer 40,000"
1,Let the Galaxy Burn,foil,81,"Warhammer 40,000"
1,Noise Marine,foil,82,"Warhammer 40,000"
1,Seeker of Slaanesh,foil,85,"Warhammer 40,000"
1,Blood for the Blood God!,foil,108,"Warhammer 40,000"
1,Chaos Defiler,foil,110,"Warhammer 40,000"
1,Chaos Mutation,foil,111,"Warhammer 40,000"
1,Drach'Nyen,foil,117,"Warhammer 40,000"
1,Exalted Flamer of Tzeentch,foil,119,"Warhammer 40,000"
1,Helbrute,foil,125,"Warhammer 40,000"
1,The Horus Heresy,foil,126,"Warhammer 40,000"
1,Kill! Maim! Burn!,foil,128,"Warhammer 40,000"
1,The Lost and the Damned,foil,129,"Warhammer 40,000"
1,Lucius the Eternal,foil,130,"Warhammer 40,000"
1,Magnus the Red,foil,131,"Warhammer 40,000"
1,Mutalith Vortex Beast,foil,134,"Warhammer 40,000"
1,Pink Horror,foil,136,"Warhammer 40,000"
1,The Ruinous Powers,foil,139,"Warhammer 40,000"
1,Tzaangor Shaman,foil,146,"Warhammer 40,000"
1,Brainstorm,foil,192,"Warhammer 40,000"
1,Bile Blight,foil,195,"Warhammer 40,000"
1,Dark Ritual,foil,196,"Warhammer 40,000"
1,Decree of Pain,foil,198,"Warhammer 40,000"
1,Blasphemous Act,foil,204,"Warhammer 40,000"
1,Chaos Warp,foil,205,"Warhammer 40,000"
1,Past in Flames,foil,206,"Warhammer 40,000"
1,Reverberate,foil,207,"Warhammer 40,000"
1,Warstorm Surge,foil,209,"Warhammer 40,000"
1,Bituminous Blast,foil,221,"Warhammer 40,000"
1,Deny Reality,foil,223,"Warhammer 40,000"
1,Assault Suit,foil,230,"Warhammer 40,000"
1,Chromatic Lantern,foil,232,"Warhammer 40,000"
1,Commander's Sphere,foil,235,"Warhammer 40,000"
1,Sol Ring,foil,250,"Warhammer 40,000"
1,Talisman of Creativity,foil,253,"Warhammer 40,000"
1,Talisman of Dominance,foil,255,"Warhammer 40,000"
1,Talisman of Indulgence,foil,257,"Warhammer 40,000"
1,Wayfarer's Bauble,foil,261,"Warhammer 40,000"
1,Worn Powerstone,foil,263,"Warhammer 40,000"
1,Barren Moor,foil,266,"Warhammer 40,000"
1,Command Tower,foil,271,"Warhammer 40,000"
1,Crumbling Necropolis,foil,273,"Warhammer 40,000"
1,Dismal Backwater,foil,276,"Warhammer 40,000"
1,Evolving Wilds,foil,277,"Warhammer 40,000"
1,Exotic Orchard,foil,278,"Warhammer 40,000"
1,Foreboding Ruins,foil,279,"Warhammer 40,000"
1,Forgotten Cave,foil,280,"Warhammer 40,000"
1,Molten Slagheap,foil,284,"Warhammer 40,000"
1,Path of Ancestry,foil,287,"Warhammer 40,000"
1,Sunken Hollow,foil,295,"Warhammer 40,000"
1,Swiftwater Cliffs,foil,296,"Warhammer 40,000"
1,Temple of the False God,foil,300,"Warhammer 40,000"
1,Terramorphic Expanse,foil,301,"Warhammer 40,000"
8,Island,foil,308,"Warhammer 40,000"
8,Swamp,foil,311,"Warhammer 40,000"
8,Mountain,foil,316,"Warhammer 40,000"
4,Plaguebearer of Nurgle // Astartes Warrior,foil,4,"Extras: Warhammer 40,000"
2,Plaguebearer of Nurgle // Spawn,foil,5,"Extras: Warhammer 40,000"
2,Spawn // Astartes Warrior,foil,6,"Extras: Warhammer 40,000"
2,Spawn // Blue Horror,foil,7,"Extras: Warhammer 40,000"
