Count,Name,Foil,Card Number,Edition
1,The Swarmlord,foil,321,"Warhammer 40,000"
1,The Swarmlord,foil,176,"Warhammer 40,000"
1,Magus Lucea Kane,foil,174,"Warhammer 40,000"
1,Genestealer Locus,,21,"Warhammer 40,000"
1,Genestealer Patriarch,,22,"Warhammer 40,000"
1,Acolyte Hybrid,,70,"Warhammer 40,000"
1,Exocrine,,76,"Warhammer 40,000"
1,The Red Terror,,83,"Warhammer 40,000"
1,Screamer-Killer,,84,"Warhammer 40,000"
1,Aberrant,,86,"Warhammer 40,000"
1,Biophagus,,87,"Warhammer 40,000"
1,Bone Sabres,,88,"Warhammer 40,000"
1,Broodlord,,89,"Warhammer 40,000"
1,Clamavus,,90,"Warhammer 40,000"
1,Haruspex,,91,"Warhammer 40,000"
1,Hierophant Bio-Titan,,92,"Warhammer 40,000"
1,Hormagaunt Horde,,93,"Warhammer 40,000"
1,Lictor,,94,"Warhammer 40,000"
1,Nexos,,95,"Warhammer 40,000"
1,Old One Eye,,96,"Warhammer 40,000"
1,Purestrain Genestealer,,97,"Warhammer 40,000"
1,Sporocyst,,98,"Warhammer 40,000"
1,Termagant Swarm,,99,"Warhammer 40,000"
1,Tervigon,,100,"Warhammer 40,000"
1,Toxicrene,,101,"Warhammer 40,000"
1,Tyranid Invasion,,102,"Warhammer 40,000"
1,Tyrant Guard,,103,"Warhammer 40,000"
1,Atalan Jackal,,105,"Warhammer 40,000"
1,"Deathleaper, Terror Weapon",,115,"Warhammer 40,000"
1,The First Tyrannic War,,121,"Warhammer 40,000"
1,Gargoyle Flock,,123,"Warhammer 40,000"
1,"Ghyrson Starn, Kelermorph",,124,"Warhammer 40,000"
1,Malanthrope,,132,"Warhammer 40,000"
1,Mawloc,,133,"Warhammer 40,000"
1,Ravener,,138,"Warhammer 40,000"
1,Shadow in the Warp,,140,"Warhammer 40,000"
1,Trygon Prime,,143,"Warhammer 40,000"
1,Tyranid Harridan,,144,"Warhammer 40,000"
1,Tyranid Prime,,145,"Warhammer 40,000"
1,Venomthrope,,147,"Warhammer 40,000"
1,Winged Hive Tyrant,,148,"Warhammer 40,000"
1,Zoanthrope,,149,"Warhammer 40,000"
1,Goliath Truck,,158,"Warhammer 40,000"
1,Aetherize,,191,"Warhammer 40,000"
1,Starstorm,,208,"Warhammer 40,000"
1,Abundance,,210,"Warhammer 40,000"
1,Cultivate,,211,"Warhammer 40,000"
1,Death's Presence,,212,"Warhammer 40,000"
1,Explore,,213,"Warhammer 40,000"
1,Farseek,,214,"Warhammer 40,000"
1,Hardened Scales,,215,"Warhammer 40,000"
1,Harrow,,216,"Warhammer 40,000"
1,Inspiring Call,,217,"Warhammer 40,000"
1,New Horizons,,218,"Warhammer 40,000"
1,Overgrowth,,219,"Warhammer 40,000"
1,Rampant Growth,,220,"Warhammer 40,000"
1,Bred for the Hunt,,222,"Warhammer 40,000"
1,Hull Breach,,224,"Warhammer 40,000"
1,Arcane Signet,,227,"Warhammer 40,000"
1,Herald's Horn,,241,"Warhammer 40,000"
1,Icon of Ancestry,,242,"Warhammer 40,000"
1,Sol Ring,,249,"Warhammer 40,000"
1,Ash Barrens,,265,"Warhammer 40,000"
1,Cave of Temptation,,267,"Warhammer 40,000"
1,Cinder Glade,,269,"Warhammer 40,000"
1,Command Tower,,270,"Warhammer 40,000"
1,Evolving Wilds,,277,"Warhammer 40,000"
1,Exotic Orchard,,278,"Warhammer 40,000"
1,Frontier Bivouac,,281,"Warhammer 40,000"
1,Game Trail,,282,"Warhammer 40,000"
1,Opal Palace,,286,"Warhammer 40,000"
1,Path of Ancestry,,287,"Warhammer 40,000"
1,Rugged Highlands,,292,"Warhammer 40,000"
1,Temple of Abandon,,297,"Warhammer 40,000"
1,Temple of Epiphany,,298,"Warhammer 40,000"
1,Temple of Mystery,,299,"Warhammer 40,000"
1,Terramorphic Expanse,,301,"Warhammer 40,000"
1,Thornwood Falls,,302,"Warhammer 40,000"
1,Unclaimed Territory,,304,"Warhammer 40,000"
7,Island,,309,"Warhammer 40,000"
7,Mountain,,315,"Warhammer 40,000"
8,Forest,,317,"Warhammer 40,000"
1,Tyranid // Tyranid,,1,"Extras: Warhammer 40,000"
3,Tyranid // Tyranid Warrior,,2,"Extras: Warhammer 40,000"
6,Tyranid // Tyranid Gargoyle,,3,"Extras: Warhammer 40,000"
