Count,Name,Foil,Card Number,Edition
1,The Swarmlord,foil,180,"Warhammer 40,000"
1,The Swarmlord,foil,4,"Warhammer 40,000"
1,Magus Lucea Kane,foil,7,"Warhammer 40,000"
1,Genestealer Locus,foil,21,"Warhammer 40,000"
1,Genestealer Patriarch,foil,22,"Warhammer 40,000"
1,Acolyte Hybrid,foil,70,"Warhammer 40,000"
1,Exocrine,foil,76,"Warhammer 40,000"
1,The Red Terror,foil,83,"Warhammer 40,000"
1,Screamer-Killer,foil,84,"Warhammer 40,000"
1,Aberrant,foil,86,"Warhammer 40,000"
1,Biophagus,foil,87,"Warhammer 40,000"
1,Bone Sabres,foil,88,"Warhammer 40,000"
1,Broodlord,foil,89,"Warhammer 40,000"
1,Clamavus,foil,90,"Warhammer 40,000"
1,Haruspex,foil,91,"Warhammer 40,000"
1,Hierophant Bio-Titan,foil,92,"Warhammer 40,000"
1,Hormagaunt Horde,foil,93,"Warhammer 40,000"
1,Lictor,foil,94,"Warhammer 40,000"
1,Nexos,foil,95,"Warhammer 40,000"
1,Old One Eye,foil,96,"Warhammer 40,000"
1,Purestrain Genestealer,foil,97,"Warhammer 40,000"
1,Sporocyst,foil,98,"Warhammer 40,000"
1,Termagant Swarm,foil,99,"Warhammer 40,000"
1,Tervigon,foil,100,"Warhammer 40,000"
1,Toxicrene,foil,101,"Warhammer 40,000"
1,Tyranid Invasion,foil,102,"Warhammer 40,000"
1,Tyrant Guard,foil,103,"Warhammer 40,000"
1,Atalan Jackal,foil,105,"Warhammer 40,000"
1,"Deathleaper, Terror Weapon",foil,115,"Warhammer 40,000"
1,The First Tyrannic War,foil,121,"Warhammer 40,000"
1,Gargoyle Flock,foil,123,"Warhammer 40,000"
1,"Ghyrson Starn, Kelermorph",foil,124,"Warhammer 40,000"
1,Malanthrope,foil,132,"Warhammer 40,000"
1,Mawloc,foil,133,"Warhammer 40,000"
1,Ravener,foil,138,"Warhammer 40,000"
1,Shadow in the Warp,foil,140,"Warhammer 40,000"
1,Trygon Prime,foil,143,"Warhammer 40,000"
1,Tyranid Harridan,foil,144,"Warhammer 40,000"
1,Tyranid Prime,foil,145,"Warhammer 40,000"
1,Venomthrope,foil,147,"Warhammer 40,000"
1,Winged Hive Tyrant,foil,148,"Warhammer 40,000"
1,Zoanthrope,foil,149,"Warhammer 40,000"
1,Goliath Truck,foil,158,"Warhammer 40,000"
1,Aetherize,foil,191,"Warhammer 40,000"
1,Starstorm,foil,208,"Warhammer 40,000"
1,Abundance,foil,210,"Warhammer 40,000"
1,Cultivate,foil,211,"Warhammer 40,000"
1,Death's Presence,foil,212,"Warhammer 40,000"
1,Explore,foil,213,"Warhammer 40,000"
1,Farseek,foil,214,"Warhammer 40,000"
1,Hardened Scales,foil,215,"Warhammer 40,000"
1,Harrow,foil,216,"Warhammer 40,000"
1,Inspiring Call,foil,217,"Warhammer 40,000"
1,New Horizons,foil,218,"Warhammer 40,000"
1,Overgrowth,foil,219,"Warhammer 40,000"
1,Rampant Growth,foil,220,"Warhammer 40,000"
1,Bred for the Hunt,foil,222,"Warhammer 40,000"
1,Hull Breach,foil,224,"Warhammer 40,000"
1,Arcane Signet,foil,227,"Warhammer 40,000"
1,Herald's Horn,foil,241,"Warhammer 40,000"
1,Icon of Ancestry,foil,242,"Warhammer 40,000"
1,Sol Ring,foil,249,"Warhammer 40,000"
1,Ash Barrens,foil,265,"Warhammer 40,000"
1,Cave of Temptation,foil,267,"Warhammer 40,000"
1,Cinder Glade,foil,269,"Warhammer 40,000"
1,Command Tower,foil,270,"Warhammer 40,000"
1,Evolving Wilds,foil,277,"Warhammer 40,000"
1,Exotic Orchard,foil,278,"Warhammer 40,000"
1,Frontier Bivouac,foil,281,"Warhammer 40,000"
1,Game Trail,foil,282,"Warhammer 40,000"
1,Opal Palace,foil,286,"Warhammer 40,000"
1,Path of Ancestry,foil,287,"Warhammer 40,000"
1,Rugged Highlands,foil,292,"Warhammer 40,000"
1,Temple of Abandon,foil,297,"Warhammer 40,000"
1,Temple of Epiphany,foil,298,"Warhammer 40,000"
1,Temple of Mystery,foil,299,"Warhammer 40,000"
1,Terramorphic Expanse,foil,301,"Warhammer 40,000"
1,Thornwood Falls,foil,302,"Warhammer 40,000"
1,Unclaimed Territory,foil,304,"Warhammer 40,000"
7,Island,foil,309,"Warhammer 40,000"
7,Mountain,foil,315,"Warhammer 40,000"
8,Forest,foil,317,"Warhammer 40,000"
1,Tyranid // Tyranid,foil,1,"Extras: Warhammer 40,000"
3,Tyranid // Tyranid Warrior,foil,2,"Extras: Warhammer 40,000"
6,Tyranid // Tyranid Gargoyle,foil,3,"Extras: Warhammer 40,000"
