Count,Name,Foil,Card Number,Edition
1,Adorable Kitten,,1,Unsanctioned
1,AWOL,,2,Unsanctioned
1,Emcee,,3,Unsanctioned
1,Flavor Judge,,4,Unsanctioned
1,Frankie Peanuts,,5,Unsanctioned
1,GO TO JAIL,,6,Unsanctioned
1,Humming-,,7,Unsanctioned
1,Knight of the Hokey Pokey,,8,Unsanctioned
1,"Look at Me, I'm R&D",,9,Unsanctioned
1,"Look at Me, I'm the DCI",,10,Unsanctioned
1,Old Guard,,11,Unsanctioned
1,Ordinary Pony,,12,Unsanctioned
1,Staying Power,,13,Unsanctioned
1,Strutting Turkey,,14,Unsanctioned
1,"Syr Cadian, Knight Owl",,15,Unsanctioned
1,Paper Tiger,,80,Unsanctioned
1,Sword of Dungeons & Dragons,,84,Unsanctioned
1,Underdome,,86,Unsanctioned
12,Plains,,87,Unsanctioned
1,Plains,,88,Unsanctioned
1,Plains,foil,88,Unsanctioned

1,Alexander Clamilton,,16,Unsanctioned
1,Avatar of Me,,17,Unsanctioned
1,B.O.B. (Bevy of Beebles),,18,Unsanctioned
1,Carnivorous Death-Parrot,,19,Unsanctioned
1,Cheatyface,,20,Unsanctioned
1,Chicken à la King,,21,Unsanctioned
1,Common Courtesy,,22,Unsanctioned
1,"Johnny, Combo Player",,23,Unsanctioned
1,Magic Word,,24,Unsanctioned
1,Mer Man,,25,Unsanctioned
1,"Richard Garfield, Ph.D.",,26,Unsanctioned
1,Rings a Bell,,27,Unsanctioned
1,Time Out,,28,Unsanctioned
1,Topsy Turvy,,29,Unsanctioned
1,Wall of Fortune,,30,Unsanctioned
1,Rock Lobster,,82,Unsanctioned
1,Water Gun Balloon Game,,85,Unsanctioned
1,Underdome,,86,Unsanctioned
12,Island,,89,Unsanctioned
1,Island,,90,Unsanctioned
1,Island,foil,90,Unsanctioned

1,"Acornelia, Fashionable Filcher",,31,Unsanctioned
1,Bat-,,32,Unsanctioned
1,Booster Tutor,,33,Unsanctioned
1,Dirty Rat,,34,Unsanctioned
1,Duh,,35,Unsanctioned
1,Enter the Dungeon,,36,Unsanctioned
1,Hoisted Hireling,,37,Unsanctioned
1,Infernal Spawn of Evil,,38,Unsanctioned
1,Infernal Spawn of Infernal Spawn of Evil,,39,Unsanctioned
1,"Infernius Spawnington III, Esq.",,40,Unsanctioned
1,Inhumaniac,,41,Unsanctioned
1,Jumbo Imp,,42,Unsanctioned
1,Poultrygeist,,43,Unsanctioned
1,Skull Saucer,,44,Unsanctioned
1,Snickering Squirrel,,45,Unsanctioned
1,Stinging Scorpion,,46,Unsanctioned
1,Jack-in-the-Mox,,78,Unsanctioned
1,Underdome,,86,Unsanctioned
12,Swamp,,91,Unsanctioned
1,Swamp,,92,Unsanctioned
1,Swamp,foil,92,Unsanctioned

1,Abstract Iguanart,,47,Unsanctioned
1,Blast from the Past,,48,Unsanctioned
1,Boomstacker,,49,Unsanctioned
1,Common Iguana,,50,Unsanctioned
1,Goblin Haberdasher,,51,Unsanctioned
1,Goblin S.W.A.T. Team,,52,Unsanctioned
1,Goblin Tutor,,53,Unsanctioned
1,Infinity Elemental,,54,Unsanctioned
1,Painiac,,55,Unsanctioned
1,Six-y Beast,,56,Unsanctioned
1,"Stet, Draconic Proofreader",,57,Unsanctioned
1,"Strategy, Schmategy",,58,Unsanctioned
1,Super-Duper Death Ray,,59,Unsanctioned
1,Yet Another Aether Vortex,,60,Unsanctioned
1,Krark's Other Thumb,,79,Unsanctioned
1,Pointy Finger of Doom,,81,Unsanctioned
1,Scissors Lizard,,83,Unsanctioned
1,Underdome,,86,Unsanctioned
12,Mountain,,93,Unsanctioned
1,Mountain,,94,Unsanctioned
1,Mountain,foil,94,Unsanctioned

1,B-I-N-G-O,,61,Unsanctioned
1,Elvish Impersonators,,62,Unsanctioned
1,Free-Range Chicken,,63,Unsanctioned
1,Growth Spurt,,64,Unsanctioned
1,"Half-Squirrel, Half-",,65,Unsanctioned
1,Mother Kangaroo,,66,Unsanctioned
1,Old Fogey,,67,Unsanctioned
1,"Pippa, Duchess of Dice",,68,Unsanctioned
1,Slaying Mantis,,69,Unsanctioned
1,Spirit of the Season,,70,Unsanctioned
1,Squirrel Farm,,71,Unsanctioned
1,Surgeon ~General~ Commander,,72,Unsanctioned
1,"Timmy, Power Gamer",,73,Unsanctioned
1,Wild Crocodile,,74,Unsanctioned
1,Who // What // When // Where // Why,,75,Unsanctioned
1,Bronze Calendar,,76,Unsanctioned
1,Entirely Normal Armchair,,77,Unsanctioned
1,Underdome,,86,Unsanctioned
12,Forest,,95,Unsanctioned
1,Forest,,96,Unsanctioned
1,Forest,foil,96,Unsanctioned

4,Beeble // Squirrel,,1,Extras: Unsanctioned
3,Beeble // Dragon,,2,Extras: Unsanctioned
2,Goblin // Giant Teddy Bear,,3,Extras: Unsanctioned
1,Giant Teddy Bear // Acorn Stash,,4,Extras: Unsanctioned
