Count,Name,Foil,Card Number,Edition
1,Baleful Beholder,,311,Adventures in the Forgotten Realms
1,Arcane Investigator,foil,46,Adventures in the Forgotten Realms
1,Dungeon Map,,242,Adventures in the Forgotten Realms
1,"Jiang Yanggu, Wildcrafter",,164,War of the Spark
1,Sunblast Angel,,102,Commander 2020
1,Goblin // Lost Mine of Phandelver,,77,Extras: Adventures in the Forgotten Realms
1,Tyrant's Familiar,,143,Commander 2017
1,"Atarka, World Render",,176,Adventures in the Forgotten Realms Commander
1,Cleric Class,foil,6,Adventures in the Forgotten Realms
1,Forest,foil,278,Adventures in the Forgotten Realms
