Count,Name,Foil,Card Number,Edition
1,Forest,foil,274,Dominaria United
1,Sunbathing Rootwalla,foil,181,Dominaria United
1,Lightning Strike,foil,137,Dominaria United
1,Commander's Sphere,,181,Dominaria United Commander
1,Sengir Connoisseur,,104,Dominaria United
1,Ertai's Scorn,,48,Dominaria United
1,"Ajani, the Greathearted",,184,War of the Spark
1,Blackblade Reforged,,178,Dominaria United Commander
1,"Phylath, World Sculptor",,234,Zendikar Rising
1,"Tura Kennerüd, Skyknight",,323,Dominaria United
