Count,Name,Foil,Card Number,Edition
2,Centaur Courser,,168,Core Set 2020
1,Healer of the Glade,,176,Core Set 2020
1,Mammoth Spider,,181,Core Set 2020
1,Overcome,,186,Core Set 2020
1,Plummet,,188,Core Set 2020
1,Rabid Bite,,190,Core Set 2020
1,Vorstclaw,,201,Core Set 2020
1,Aggressive Mammoth,,337,Core Set 2020
1,Bristling Boar,,338,Core Set 2020
2,Canopy Spider,,339,Core Set 2020
1,Frilled Sandwalla,,340,Core Set 2020
1,Oakenform,,341,Core Set 2020
1,Prized Unicorn,,342,Core Set 2020
1,Titanic Growth,,343,Core Set 2020
1,Woodland Mystic,,344,Core Set 2020
4,Forest,,277,Core Set 2020
3,Forest,,278,Core Set 2020
3,Forest,,279,Core Set 2020
3,Forest,,280,Core Set 2020
