Count,Name,Foil,Card Number,Edition
1,Act of Treason,,124,Core Set 2020
1,Chandra's Outrage,,130,Core Set 2020
2,Daggersail Aeronaut,,133,Core Set 2020
1,Fire Elemental,,138,Core Set 2020
1,Goblin Smuggler,,144,Core Set 2020
1,Infuriate,,145,Core Set 2020
1,Maniacal Rage,,149,Core Set 2020
1,Shock,,160,Core Set 2020
1,Engulfing Eruption,,328,Core Set 2020
2,Fearless Halberdier,,329,Core Set 2020
2,Goblin Assailant,,330,Core Set 2020
1,Rubblebelt Recluse,,334,Core Set 2020
1,Shivan Dragon,,335,Core Set 2020
1,Volcanic Dragon,,336,Core Set 2020
4,Mountain,,273,Core Set 2020
3,Mountain,,274,Core Set 2020
3,Mountain,,275,Core Set 2020
3,Mountain,,276,Core Set 2020
