Count,Name,Foil,Card Number,Edition
1,Plains,foil,380,Innistrad: Midnight Hunt
1,Dawnhart Rejuvenator,foil,301,Innistrad: Midnight Hunt
1,Drownyard Amalgam,foil,50,Innistrad: Midnight Hunt
1,Commander's Sphere,,239,Commander 2021
1,Bladestitched Skaab,,212,Innistrad: Midnight Hunt
1,Ardent Elementalist,,128,Innistrad: Midnight Hunt
1,"Arlinn, Voice of the Pack",,150,War of the Spark
1,Triskaidekaphobia,,141,Shadows over Innistrad
1,Rally the Ranks,,20,Kaldheim
1,Skyfire Phoenix,,28,Commander 2019
