Count,Name,Foil,Card Number,Edition
1,Wrecking Crew,foil,132,Streets of New Capenna
1,Forest,foil,270,Streets of New Capenna
1,Wrecking Crew,foil,132,Streets of New Capenna
1,Commander's Sphere,,363,Streets of New Capenna Commander
1,Metropolis Angel,,203,Streets of New Capenna
1,Darling of the Masses,,181,Streets of New Capenna
1,Ob Nixilis Reignited,,149,Commander 2021
1,"Kogla, the Titan Ape",,162,Ikoria: Lair of Behemoths
1,Sunblast Angel,,74,Adventures in the Forgotten Realms Commander
1,"Mr. Orfeo, the Boulder",,320,Streets of New Capenna
