Count,Name,Foil,Card Number,Edition,Language
1,Forest,foil,384,Zendikar Rising,English
1,Nahiri's Binding,foil,29,Zendikar Rising,English
1,Demon of Loathing,,292,Theros Beyond Death,English
1,Commander's Sphere,,109,Zendikar Rising Commander,English
1,Tribute to the Wild,,193,Commander 2020,English
1,Tajuru Blightblade,,208,Zendikar Rising,English
1,"Bruna, Light of Alabaster",,170,Commander 2018,English
1,Vraska the Unseen,,207,Commander 2019,English
1,Expedition Diviner,foil,57,Zendikar Rising,English
1,Spitfire Lagac,,302,Zendikar Rising,English
